chrom	start	end	gene1	gene2	gene1_strand	gene2_strand	inter_tss_distance	pair_type	orig_start	orig_end	cpg_overlap_fraction	cpg_obs_exp	cpg_gc_pct
chr1	154973761	154975010	SHC1	CKS1B	-	+	257	divergent_classic	154974395	154974652	0.8046437149719776	55.900000000000006	40.0
chr1	155208694	155209168	MTX1	THBS3	+	-	357	divergent_overlapping	155208694	155209051	0.869198312236287	72.6	41.0
chr1	155562495	155563489	ASH1L	MSTO1	-	+	72	divergent_classic	155563162	155563234	1.0	60.5	95.0
chr1	155687959	155689334	DAP3	YY1AP1	+	-	1041	divergent_overlapping	155687959	155689000	0.9403636363636364	63.2	120.0
chr1	155859318	155859640	GON4L	SYT11	-	+	166	divergent_classic	155859400	155859566	1.0	61.5	27.0
chr1	156053171	156054849	UBQLN4	LAMTOR2	-	+	983	divergent_classic	156053798	156054781	0.7955899880810489	62.35	52.5
chr1	156728319	156729124	METTL25B	ISG20L2	+	-	325	divergent_overlapping	156728441	156728766	1.0	60.9	76.0
chr1	160343138	160343566	NCSTN	COPA	+	-	273	divergent_overlapping	160343293	160343566	0.9579439252336449	63.7	38.0
chr1	161117932	161118322	PFDN2	NIT1	-	+	30	divergent_classic	161118055	161118085	1.0	68.7	44.0
chr1	165827416	165828446	UCK2	TMCO1	+	-	142	divergent_overlapping	165827613	165827755	1.0	70.0	127.0
chr1	167935782	167937563	DCAF6	MPC2	+	-	1290	divergent_overlapping	167935782	167937072	0.8124649073554183	61.35	57.0
chr1	183635148	183636198	ARPC5	RGL1	-	+	301	divergent_classic	183635783	183636084	1.0	65.3	99.0
chr1	185156718	185157573	TRMT1L	SWT1	-	+	7	divergent_classic	185157072	185157079	1.0	65.4	73.0
chr1	186374992	186375837	TPR	ODR4	-	+	144	divergent_classic	186375693	186375837	0.8568047337278106	65.9	69.0
chr1	193059091	193060141	RO60	UCHL5	+	-	627	divergent_overlapping	193059453	193060080	1.0	65.6	94.0
chr1	212791524	212792005	NSL1	TATDN3	-	+	45	divergent_classic	212791782	212791827	1.0	64.2	45.0
chr1	222711984	222713210	BROX	AIDA	+	-	658	divergent_overlapping	222712552	222713210	0.7373572593800979	61.6	70.0
chr1	229625381	229626552	TAF5L	URB2	-	+	124	divergent_classic	229626122	229626246	1.0	72.9	147.0
chr1	230978125	230979127	TTC13	ARV1	-	+	105	divergent_classic	230978875	230978980	1.0	51.0	73.0
chr1	231241050	231241497	C1orf131	GNPAT	-	+	19	divergent_classic	231241187	231241206	1.0	66.2	41.0
chr1	231337103	231338636	SPRTN	EXOC8	+	-	749	divergent_overlapping	231337103	231337852	0.7286366601435095	62.0	101.0
chr1	235327023	235328845	GGPS1	ARID4B	+	-	870	divergent_overlapping	235327349	235328219	1.0	63.4	157.0
chr1	243254439	243256033	CEP170	SDCCAG8	-	+	685	divergent_classic	243255348	243256033	0.6486825595984943	63.2	91.0
chr1	246565905	246566974	TFB2M	CNST	-	+	182	divergent_classic	246566261	246566443	1.0	61.3	88.0
chr10	1048397	1049654	IDI1	WDR37	-	+	418	divergent_classic	1049119	1049537	1.0	59.3	123.0
chr10	5888951	5890674	ANKRD16	FBH1	-	+	296	divergent_classic	5889906	5890202	1.0	73.7	208.0
chr10	7787625	7788554	KIN	ATP5F1C	-	+	153	divergent_classic	7787993	7788146	1.0	68.1	77.0
chr10	12195833	12196378	NUDT5	CDC123	-	+	73	divergent_classic	12195891	12195964	1.0	58.2	46.0
chr10	18659184	18659782	NSUN6	ARL5B	-	+	145	divergent_classic	18659285	18659430	1.0	68.1	69.0
chr10	27154101	27155565	MASTL	YME1L1	+	-	443	divergent_overlapping	27154823	27155266	0.5027322404371585	57.25	30.0
chr10	35126560	35127757	CREM	CUL2	+	-	216	divergent_overlapping	35126790	35127006	1.0	50.6	93.0
chr10	63521110	63522270	REEP3	JMJD1C	+	-	450	divergent_overlapping	63521400	63521850	1.0	52.9	100.0
chr10	68331173	68333049	HNRNPH3	PBLD	+	-	1876	divergent_overlapping	68331173	68333049	0.8091684434968017	62.8	128.0
chr10	74150842	74151722	AP3M1	ADK	-	+	359	divergent_classic	74150842	74151201	0.7318181818181818	67.5	50.0
chr10	87094000	87095741	SHLD2	GLUD1	+	-	683	divergent_overlapping	87094160	87094843	1.0	64.2	167.0
chr10	89414557	89415409	LIPA	IFIT5	-	+	10	divergent_classic	89414557	89414567	0.8931924882629108	66.8	76.0
chr10	92290666	92291655	CPEB3	MARCHF5	-	+	88	divergent_classic	92291078	92291166	1.0	70.5	99.0
chr10	97426021	97426537	RRP12	PGAM1	-	+	114	divergent_classic	97426076	97426190	1.0	72.9	70.0
chr10	97445719	97446517	EXOSC1	ZDHHC16	-	+	152	divergent_classic	97446017	97446169	1.0	63.2	65.0
chr10	100529071	100530000	HIF1AN	NDUFB8	+	-	929	divergent_overlapping	100529071	100530000	0.6372443487621098	61.5	47.0
chr10	100986776	100987744	TWNK	MRPL43	+	-	149	divergent_overlapping	100987366	100987515	1.0	65.7	96.0
chr10	102502467	102504398	ACTR1A	SUFU	-	+	1259	divergent_classic	102502712	102503971	0.4034179181771103	64.69999999999999	40.5
chr10	103396063	103396727	ATP5MK	PDCD11	-	+	133	divergent_classic	103396492	103396625	1.0	61.4	56.0
chr10	110918549	110920136	BBIP1	SHOC2	-	+	165	divergent_classic	110919201	110919366	1.0	60.6	131.0
chr10	112446846	112447572	VTI1A	ZDHHC6	+	-	575	divergent_overlapping	112446997	112447572	0.9862258953168044	61.2	58.0
chr10	113854383	113855297	DCLRE1A	NHLRC2	-	+	277	divergent_classic	113854383	113854660	0.7472647702407003	66.2	66.0
chr10	119892491	119892995	MCMBP	SEC23IP	-	+	150	divergent_classic	119892556	119892706	1.0	64.3	48.0
chr10	123008242	123009381	IKZF5	ACADSB	-	+	166	divergent_classic	123008812	123008978	1.0	64.1	88.0
chr10	125822760	125823628	UROS	BCCIP	-	+	287	divergent_classic	125823258	125823545	1.0	67.9	83.0
chr10	132331673	132332521	STK32C	LRRC27	-	+	306	divergent_classic	132331847	132332153	1.0	73.1	95.0
chr11	206975	209225	BET1L	RIC8A	-	+	308	divergent_classic	207399	207707	1.0	56.9	184.0
chr11	235918	237290	SIRT3	PSMD13	-	+	34	divergent_classic	236931	236965	1.0	53.0	101.0
chr11	842293	843396	POLR2L	TSPAN4	-	+	282	divergent_classic	842529	842811	1.0	65.9	122.0
chr11	3797217	3798077	PGAP2	NUP98	+	-	69	divergent_overlapping	3797723	3797792	1.0	62.8	90.0
chr11	6481193	6481697	ARFIP2	TIMM10B	-	+	21	divergent_classic	6481479	6481500	1.0	61.5	53.0
chr11	6603322	6603843	RRP8	ILK	-	+	91	divergent_classic	6603616	6603707	1.0	61.4	48.0
chr11	8910951	8911747	DENND2B	AKIP1	-	+	187	divergent_classic	8910951	8911138	0.9057788944723618	65.7	64.0
chr11	17207464	17208286	PIK3C2A	NUCB2	-	+	166	divergent_classic	17207986	17208152	1.0	67.6	68.0
chr11	18322078	18322917	HPS5	GTF2H1	-	+	96	divergent_classic	18322198	18322294	1.0	61.4	73.0
chr11	31509584	31509954	IMMP1L	ELP4	-	+	109	divergent_classic	31509645	31509754	1.0	60.5	33.0
chr11	34915781	34916833	PDHX	APIP	+	-	551	divergent_overlapping	34915828	34916379	1.0	67.6	98.0
chr11	46700429	46701029	ARHGAP1	ZNF408	-	+	410	divergent_classic	46700619	46701029	0.7483333333333333	63.7	34.0
chr11	47248299	47249082	NR1H3	ACP2	+	-	607	divergent_overlapping	47248299	47248906	0.5095785440613027	63.9	37.0
chr11	47565296	47566056	PTPMT1	CELF1	+	-	140	divergent_overlapping	47565429	47565569	1.0	69.3	81.0
chr11	57712014	57712836	MED19	TMX2	-	+	371	divergent_classic	57712221	57712592	1.0	57.9	66.0
chr11	58578200	58579848	LPXN	ZFP91	-	+	842	divergent_classic	58578220	58579062	1.0	61.2	132.0
chr11	61361749	61362407	TMEM138	CYB561A3	+	-	320	divergent_overlapping	61361963	61362283	1.0	66.1	61.0
chr11	61429449	61430225	CPSF7	SDHAF2	-	+	10	divergent_classic	61430031	61430041	1.0	68.3	88.0
chr11	61792435	61793077	TMEM258	FEN1	-	+	108	divergent_classic	61792802	61792910	1.0	65.9	56.0
chr11	62611721	62613084	ROM1	EML3	+	-	1054	divergent_overlapping	62611721	62612775	0.673514306676449	75.6	103.0
chr11	62726522	62728068	HNRNPUL2	TTC9C	-	+	611	divergent_classic	62727457	62728068	0.7328589909443726	71.0	142.0
chr11	64225940	64226362	NUDT22	TRPT1	+	-	314	divergent_overlapping	64225940	64226254	0.580568720379147	75.5	33.0
chr11	64246300	64251905	PPP1R14B	PLCB3	-	+	4586	divergent_classic	64246943	64251529	0.41498661909009815	67.43333333333334	73.0
chr11	64317174	64318585	TRMT112	PRDX5	-	+	561	divergent_classic	64317559	64318120	1.0	62.7	112.0
chr11	64917127	64917552	ATG2A	PPP2R5B	-	+	343	divergent_classic	64917209	64917552	0.5341176470588235	73.6	31.0
chr11	65121664	65122459	FAU	MRPL49	-	+	5	divergent_classic	65122177	65122182	1.0	62.6	70.0
chr11	65615353	65616386	MAP3K11	PCNX3	-	+	393	divergent_classic	65615382	65615775	1.0	68.5	97.0
chr11	65857024	65862026	MUS81	CFL1	+	-	4901	divergent_overlapping	65857125	65862026	0.8198720511795282	63.2	337.0
chr11	65918816	65920083	C11orf68	DRAP1	-	+	211	divergent_classic	65919062	65919273	1.0	65.2	142.0
chr11	66001926	66002831	EIF1AD	BANF1	-	+	51	divergent_classic	66002176	66002227	1.0	65.0	86.0
chr11	66466326	66467493	PELI3	MRPL11	+	-	412	divergent_overlapping	66466326	66466738	0.9125964010282777	75.6	122.0
chr11	67468173	67469482	AIP	TMEM134	+	-	1099	divergent_overlapping	67468173	67469272	0.5263559969442322	74.5	75.0
chr11	71452868	71453634	DHCR7	NADSYN1	-	+	240	divergent_classic	71452868	71453108	0.7610966057441253	67.1	51.0
chr11	72080336	72080914	LRRC51	NUMA1	+	-	357	divergent_overlapping	72080336	72080693	0.9948096885813149	63.5	51.0
chr11	73876628	73877057	PAAF1	COA4	+	-	203	divergent_overlapping	73876698	73876901	1.0	64.6	45.0
chr11	74948886	74949328	XRRA1	SPCS2	-	+	60	divergent_classic	74949200	74949260	1.0	65.6	51.0
chr11	77820140	77821216	RSF1	AAMDC	-	+	239	divergent_classic	77820869	77821108	1.0	67.9	101.0
chr11	78188518	78188944	KCTD21	USP35	-	+	185	divergent_classic	78188626	78188811	1.0	73.7	50.0
chr11	94493506	94494246	MRE11	ANKRD49	-	+	93	divergent_classic	94493885	94493978	1.0	60.7	56.0
chr11	95789296	95790879	CEP57	FAM76B	+	-	445	divergent_overlapping	95789964	95790409	1.0	61.2	130.0
chr11	96389372	96390423	CCDC82	JRKL	-	+	32	divergent_classic	96389956	96389988	1.0	61.1	75.0
chr11	112086628	112086957	TIMM8B	SDHD	-	+	25	divergent_classic	112086798	112086823	1.0	62.6	30.0
chr11	114400029	114400968	RBM7	C11orf71	+	-	482	divergent_overlapping	114400029	114400511	0.9488817891373802	63.0	86.0
chr11	117232057	117233225	PCSK7	RNF214	-	+	99	divergent_classic	117232525	117232624	0.7662671232876712	62.05	38.5
chr11	118572301	118572970	ARCN1	IFT46	+	-	581	divergent_overlapping	118572389	118572970	0.9192825112107623	68.6	47.0
chr11	119018168	119019405	RPS25	TRAPPC4	-	+	71	divergent_classic	119018691	119018762	1.0	58.4	91.0
chr11	126211474	126212133	RPUSD4	FAM118B	-	+	31	divergent_classic	126211692	126211723	1.0	64.0	59.0
chr11	126268464	126269271	FOXRED1	SRPRA	+	-	121	divergent_overlapping	126269023	126269144	1.0	65.7	78.0
chr11	134252868	134254102	THYN1	ACAD8	-	+	177	divergent_classic	134253370	134253547	0.8152350081037277	63.150000000000006	50.0
chr12	388932	389371	CCDC77	KDM5A	+	-	48	divergent_overlapping	389272	389320	1.0	61.3	37.0
chr12	990053	991136	RAD52	ERC1	-	+	455	divergent_classic	990053	990508	0.6879039704524469	64.8	81.0
chr12	6493194	6494140	NCAPD2	MRPL51	+	-	486	divergent_overlapping	6493355	6493841	0.5116279069767442	65.25	25.0
chr12	6765515	6767757	PTMS	MLF2	+	-	1960	divergent_overlapping	6765515	6767475	0.6021409455842998	71.7	158.0
chr12	6970337	6970966	PHB2	EMG1	-	+	132	divergent_classic	6970780	6970912	1.0	63.3	52.0
chr12	21501669	21502022	RECQL	GOLT1B	-	+	111	divergent_classic	21501669	21501780	0.886685552407932	62.9	29.0
chr12	26938225	26938924	INTS13	FGFR1OP2	-	+	143	divergent_classic	26938326	26938469	1.0	65.8	65.0
chr12	42237422	42238817	YAF2	PPHLN1	-	+	97	divergent_classic	42238349	42238446	1.0	62.9	136.0
chr12	48105138	48106449	PFKM	SENP1	+	-	941	divergent_overlapping	48105138	48106079	0.5865751334858886	64.8	65.0
chr12	49188313	49189098	TUBA1C	TUBA1A	+	-	345	divergent_overlapping	49188735	49189080	1.0	63.2	67.0
chr12	49706659	49708165	TMBIM6	FMNL3	+	-	441	divergent_overlapping	49707724	49708165	0.7602921646746348	66.7	116.0
chr12	53180241	53181366	ZNF740	CSAD	+	-	222	divergent_overlapping	53180703	53180925	1.0	65.4	118.0
chr12	53499411	53501529	MAP3K12	TARBP2	-	+	857	divergent_classic	53500063	53500920	0.603399433427762	64.4	57.5
chr12	54279538	54281204	CBX5	HNRNPA1	-	+	59	divergent_classic	54280133	54280192	0.8415366146458584	56.2	47.5
chr12	55817541	55818040	SARNP	ORMDL2	-	+	316	divergent_classic	55817724	55818040	0.45691382765531063	59.6	17.0
chr12	56221739	56222014	RNF41	NABP2	-	+	81	divergent_classic	56221933	56222014	0.8872727272727273	60.7	22.0
chr12	57087014	57089333	NEMP1	NAB2	-	+	979	divergent_classic	57088063	57089042	1.0	59.2	162.0
chr12	57755068	57756013	MARCHF9	CDK4	+	-	911	divergent_overlapping	57755102	57756013	0.9841269841269841	75.2	111.0
chr12	57771491	57772958	EEF1AKMT3	METTL1	+	-	628	divergent_overlapping	57771491	57772119	0.6053169734151329	65.65	39.5
chr12	95217058	95218221	FGD6	VEZT	-	+	263	divergent_classic	95217482	95217745	1.0	65.6	118.0
chr12	105235289	105236321	C12orf75	APPL2	+	-	914	divergent_overlapping	105235289	105236203	0.5833333333333334	70.3	69.0
chr12	106301928	106304279	TCP11L2	CKAP4	+	-	2351	divergent_overlapping	106301928	106304279	0.42407486176095277	67.8	91.0
chr12	108560719	108562983	SART3	ISCU	-	+	1181	divergent_classic	108561400	108562581	0.48542402826855124	66.3	55.5
chr12	109477326	109477833	KCTD10	UBE3B	-	+	42	divergent_classic	109477359	109477401	1.0	65.7	44.0
chr12	109573189	109573794	MVK	MMAB	+	-	326	divergent_overlapping	109573254	109573580	1.0	64.5	53.0
chr12	110468074	110469378	FAM216A	GPN3	+	-	854	divergent_overlapping	110468414	110469268	1.0	64.6	116.0
chr12	111685442	111686255	BRAP	ACAD10	-	+	96	divergent_classic	111685956	111686052	1.0	66.3	82.0
chr12	112013101	112014052	TMEM116	ERP29	-	+	162	divergent_classic	112013185	112013347	1.0	67.5	94.0
chr12	112418350	112419439	PTPN11	RPL6	+	-	488	divergent_overlapping	112418350	112418838	0.721763085399449	67.0	86.0
chr12	113184956	113186126	DDX54	RITA1	-	+	46	divergent_classic	113185479	113185525	1.0	66.7	115.0
chr12	113358412	113359493	PLBD2	SLC8B1	+	-	928	divergent_overlapping	113358565	113359493	0.5827937095282146	67.3	60.0
chr12	118371519	118377034	TAOK3	SUDS3	-	+	3647	divergent_classic	118372907	118376554	0.457298277425204	70.3	113.0
chr12	120446244	120446900	TRIAP1	GATC	-	+	59	divergent_classic	120446384	120446443	1.0	66.0	70.0
chr12	120533479	120535052	RNF10	COQ5	+	-	955	divergent_overlapping	120533479	120534434	0.43738080101716464	72.1	83.0
chr12	121399577	121400593	ANAPC5	RNF34	-	+	186	divergent_classic	121399896	121400082	1.0	67.7	103.0
chr12	121799916	121805484	RHOF	SETD1B	-	+	605	divergent_classic	121803403	121804008	1.0	57.9	393.0
chr12	122526714	122527245	RSRC2	KNTC1	-	+	245	divergent_classic	122527000	122527245	0.9491525423728814	56.5	44.0
chr12	122980059	122981649	ARL6IP4	ABCB9	+	-	1590	divergent_overlapping	122980059	122981649	0.7245283018867924	72.7	133.0
chr12	123633550	123633932	GTF2H3	EIF2B1	+	-	28	divergent_overlapping	123633738	123633766	1.0	69.9	43.0
chr12	123971844	123974181	ZNF664	CCDC92	+	-	987	divergent_overlapping	123971844	123972831	0.922122379118528	62.1	206.0
chr13	27620046	27622112	LNX2	POLR1D	-	+	212	divergent_classic	27620529	27620741	1.0	67.2	188.0
chr13	30617374	30618052	HMGB1	USPL1	-	+	95	divergent_classic	30617597	30617692	1.0	67.7	71.0
chr13	39037551	39038793	PROSER1	NHLRC3	-	+	216	divergent_classic	39038089	39038305	0.7576489533011272	66.1	41.5
chr13	41060036	41061984	ELF1	WBP4	-	+	68	divergent_classic	41061440	41061508	1.0	60.2	160.0
chr13	44989153	44989867	NUFIP1	GPALPP1	-	+	57	divergent_classic	44989471	44989528	1.0	65.0	64.0
chr13	48037510	48038132	NUDT15	SUCLA2	+	-	243	divergent_overlapping	48037725	48037968	1.0	66.6	76.0
chr13	49443985	49444602	CAB39L	SETDB2	-	+	209	divergent_classic	49444064	49444273	1.0	66.0	57.0
chr13	72781565	72782474	DIS3	PIBF1	-	+	36	divergent_classic	72782096	72782132	1.0	61.1	80.0
chr13	75549302	75550132	COMMD6	UCHL3	-	+	43	divergent_classic	75549439	75549482	1.0	57.2	61.0
chr13	108218154	108218980	LIG4	ABHD13	-	+	23	divergent_classic	108218368	108218391	1.0	71.4	90.0
chr13	110712371	110716183	ING1	CARS2	+	-	868	divergent_overlapping	110712735	110713603	1.0	65.6	358.0
chr13	113208048	113210203	CUL4A	PCID2	+	-	523	divergent_overlapping	113208192	113208715	1.0	67.0	236.0
chr13	113490163	113491310	DCUN1D2	TMCO3	-	+	69	divergent_classic	113490951	113491020	1.0	65.9	135.0
chr14	20454581	20455864	OSGEP	APEX1	-	+	101	divergent_classic	20455089	20455190	1.0	57.4	87.0
chr14	21069847	21070872	ARHGEF40	NDRG2	+	-	600	divergent_overlapping	21070272	21070872	0.6429268292682927	74.5	80.0
chr14	21476596	21477653	TOX4	RAB2B	+	-	364	divergent_overlapping	21476596	21476960	0.8495742667928098	60.8	60.0
chr14	23094769	23095614	C14orf119	ACIN1	+	-	110	divergent_overlapping	23095504	23095614	0.8828402366863906	62.6	78.0
chr14	24146682	24147906	RNF31	PSME2	+	-	888	divergent_overlapping	24146682	24147570	0.6478758169934641	68.3	66.0
chr14	24232367	24232786	NEDD8	GMPR2	-	+	54	divergent_classic	24232367	24232421	0.8257756563245824	58.7	28.0
chr14	24299414	24300158	DHRS1	NOP9	-	+	69	divergent_classic	24299780	24299849	1.0	66.9	73.0
chr14	31025105	31026850	AP4S1	STRN3	+	-	1296	divergent_overlapping	31025105	31026401	0.7232091690544412	69.4	113.0
chr14	35121845	35122797	PRORP	PPP2R3C	+	-	672	divergent_overlapping	35121845	35122517	0.9212184873949579	56.1	64.0
chr14	49598466	49600147	LRR1	RPS29	+	-	404	divergent_overlapping	49598760	49599164	1.0	65.8	164.0
chr14	49620237	49621543	RPL36AL	MGAT2	-	+	172	divergent_classic	49620626	49620798	1.0	66.5	136.0
chr14	50311962	50312826	L2HGDH	DMAC2L	-	+	94	divergent_classic	50312229	50312323	1.0	63.9	84.0
chr14	57268388	57268986	EXOC5	AP5M1	-	+	18	divergent_classic	57268905	57268923	1.0	65.6	57.0
chr14	58426900	58427531	KIAA0586	TIMM9	+	-	147	divergent_overlapping	58427384	58427531	0.5309033280507132	62.7	28.0
chr14	59483742	59484809	L3HYPDH	JKAMP	-	+	34	divergent_classic	59484408	59484442	1.0	69.1	117.0
chr14	60980945	60981423	SLC38A6	TRMT5	+	-	57	divergent_overlapping	60981113	60981170	1.0	63.8	45.0
chr14	64503249	64505462	ZBTB1	ZBTB25	+	-	1502	divergent_overlapping	64503711	64505213	1.0	65.6	203.0
chr14	67359422	67360809	ATP6V1D	EIF2S1	-	+	62	divergent_classic	67360265	67360327	1.0	57.3	97.0
chr14	69397996	69398356	SLC39A9	ERH	+	-	285	divergent_overlapping	69398014	69398299	1.0	67.8	44.0
chr14	73949925	73950655	COQ6	FAM161B	+	-	489	divergent_overlapping	73949925	73950414	0.6863013698630137	65.1	47.0
chr14	74018622	74019653	BBOF1	ENTPD5	+	-	51	divergent_overlapping	74019348	74019399	1.0	68.1	110.0
chr14	74084492	74085003	ALDH6A1	LIN52	-	+	463	divergent_classic	74084492	74084955	0.7436399217221135	58.9	26.0
chr14	74492977	74494204	ISCA2	NPC2	+	-	422	divergent_overlapping	74493755	74494177	1.0	65.0	97.0
chr14	74712926	74713172	AREL1	FCF1	-	+	26	divergent_classic	74713117	74713143	1.0	62.2	19.0
chr14	77457527	77458253	AHSA1	VIPAS39	+	-	83	divergent_overlapping	77457869	77457952	1.0	59.8	51.0
chr14	77707711	77708207	ALKBH1	SLIRP	-	+	47	divergent_classic	77708023	77708070	1.0	60.5	47.0
chr14	89954556	89954938	EFCAB11	TDP1	-	+	161	divergent_classic	89954777	89954938	0.7198952879581152	64.4	25.0
chr14	92121205	92122678	NDUFB1	CPSF2	-	+	51	divergent_classic	92121917	92121968	1.0	61.0	116.0
chr14	96363129	96363997	ATG2B	GSKIP	-	+	110	divergent_classic	96363341	96363451	1.0	72.8	101.0
chr14	99479824	99481851	SETD3	CCNK	-	+	279	divergent_classic	99480889	99481168	1.0	65.0	202.0
chr14	100376002	100376805	WDR25	WARS1	+	-	388	divergent_overlapping	100376417	100376805	0.7372353673723536	65.4	68.0
chr14	102139260	102140640	WDR20	HSP90AA1	+	-	197	divergent_overlapping	102139502	102139699	1.0	67.7	112.0
chr14	102362819	102363536	CINP	TECPR2	-	+	24	divergent_classic	102362916	102362940	1.0	70.7	85.0
chr14	103561895	103563334	KLC1	BAG5	+	-	762	divergent_overlapping	103561895	103562657	0.9471855455177206	73.0	161.0
chr14	103561971	103563334	BAG5	COA8	-	+	302	divergent_classic	103562657	103562959	1.0	73.0	161.0
chr14	103715041	103716615	XRCC3	ZFYVE21	-	+	225	divergent_classic	103715504	103715729	1.0	64.7	172.0
chr15	40807045	40807680	ZFYVE19	DNAJC17	+	-	393	divergent_overlapping	40807085	40807478	1.0	65.0	54.0
