chrom	start	end	gene1	gene2	gene1_strand	gene2_strand	inter_tss_distance	pair_type	orig_start	orig_end	cpg_overlap_fraction	cpg_obs_exp	cpg_gc_pct	H3K4me3_n_present	H3K4me3_frac_present	H3K4me3_mean	H3K4me3_cv	H3K27ac_n_present	H3K27ac_frac_present	H3K27ac_mean	H3K27ac_cv	H3K27me3_n_absent	H3K27me3_frac_absent	H3K27me3_mean	H3K27me3_cv	H3K9me3_n_absent	H3K9me3_frac_absent	H3K9me3_mean	H3K9me3_cv
chr1	32650903	32651762	ZBTB8OS	RBBP4	-	+	238	divergent_classic	32650903	32651141	0.9545983701979045	69.5	96.0	11	1.0	25.70693957010806	0.46496719933302577	11	1.0	20.53598035231731	0.4984793773738636	11	1.0	0.3578494373530104	1.2449154513481535	11	1.0	0.277534853746286	0.9414123979645165
chr1	32816766	32818305	S100PBP	YARS1	+	-	1265	divergent_overlapping	32816766	32818031	0.7998700454840806	68.6	104.0	11	1.0	42.22407596465674	0.6188838011603529	11	1.0	24.169368400016193	0.6965005712965355	10	0.9090909090909091	0.6495327510145437	0.9627067922909156	11	1.0	0.47292178710717453	0.7991935724401248
chr1	35557079	35558233	NCDN	KIAA0319L	+	-	478	divergent_overlapping	35557472	35557950	1.0	65.5	95.0	11	1.0	33.04222755431286	0.545476167045614	11	1.0	14.008819191714498	0.5990854627867384	11	1.0	0.5542730337816753	0.9055624829981294	11	1.0	0.27348621510964705	0.7186301830358267
chr1	36155578	36156709	MAP7D1	TRAPPC3	+	-	475	divergent_overlapping	36155578	36156053	0.7595048629531388	69.2	104.0	11	1.0	28.214555723239304	0.5393933026610889	11	1.0	17.185074611496216	0.6551565089505631	11	1.0	0.22619277583752828	0.7242128585611863	11	1.0	0.35465261442714663	0.5746396639020929
chr1	37806978	37808730	C1orf122	YRDC	+	-	1230	divergent_overlapping	37806978	37808208	0.567351598173516	72.7	121.0	11	1.0	26.259884132303206	0.41036009033135346	11	1.0	9.051088349537721	0.5084618369766151	11	1.0	0.4648717943333194	0.7063014084878154	11	1.0	0.3198670789392416	0.3444628280197163
chr1	42816903	42817419	ERMAP	SVBP	+	-	276	divergent_overlapping	42817121	42817397	1.0	75.8	58.0	11	1.0	24.733663253525012	0.6930747551490877	11	1.0	16.52874848639108	0.3670534514809944	11	1.0	0.21968320085863313	1.197774231720566	11	1.0	0.25771675534932675	0.9491375893830079
chr1	45010553	45011350	UROD	HECTD3	+	-	375	divergent_overlapping	45010949	45011324	1.0	70.9	78.0	11	1.0	34.233730994442745	0.4418661052870108	9	0.8181818181818182	5.280612413319124	0.8864147031891202	11	1.0	0.6107882660740226	0.8598621805921824	11	1.0	0.3525794615838861	0.739800755910517
chr1	45339892	45340893	TOE1	MUTYH	+	-	842	divergent_overlapping	45340051	45340893	0.41858141858141856	69.7	56.0	11	1.0	33.867180911889584	0.5983004983329224	11	1.0	18.82590125369555	0.6973188895252549	11	1.0	0.38271926773194237	0.6628834855869704	11	1.0	0.3623107774029637	0.7874955583017181
chr1	46301753	46303697	LRRC41	UQCRH	-	+	81	divergent_classic	46303616	46303697	0.8287037037037037	70.9	155.0	11	1.0	34.33155424805835	0.5554601457925884	11	1.0	21.15629798816605	0.6592146562075699	11	1.0	0.45716394795205023	0.7489336159561343	11	1.0	0.4365423042036765	0.9527737872737876
chr1	50959775	50960744	FAF1	CDKN2C	-	+	477	divergent_classic	50960267	50960744	0.6429308565531475	58.3	65.0	11	1.0	26.152512476377762	0.4219559926149206	10	0.9090909090909091	8.887824459263198	0.6294684104328048	11	1.0	0.37797848224322084	0.8864818449857664	11	1.0	0.3511714357652756	0.8196922311400083
chr1	52055074	52056624	TXNDC12	BTF3L4	-	+	1007	divergent_classic	52055191	52056198	0.5767741935483871	63.6	39.5	11	1.0	28.707447033013057	0.41535668138202786	11	1.0	15.815558164576737	0.5650648351878115	10	0.9090909090909091	0.44431571952440446	1.246775005357725	11	1.0	0.27182838448027696	1.0816596894880448
chr1	54052928	54053626	TMEM59	TCEANC2	-	+	79	divergent_classic	54053504	54053583	1.0	64.5	55.0	11	1.0	23.886830309160526	0.5894567446676822	11	1.0	12.889963881377856	0.6958025047455537	11	1.0	0.44048163863308926	0.879588164250278	11	1.0	0.20774670687015975	0.9117256401856237
chr1	63593266	63594242	PGM1	ITGB3BP	+	-	311	divergent_overlapping	63593410	63593721	1.0	66.7	99.0	11	1.0	35.979673976202314	0.6855084563493269	10	0.9090909090909091	9.95908989883249	0.7728745420344164	10	0.9090909090909091	1.0576884103081177	1.8680043728339066	11	1.0	0.4577439748794125	0.6539154435127089
chr1	70205500	70205759	LRRC40	SRSF11	-	+	102	divergent_classic	70205579	70205681	1.0	67.2	28.0	11	1.0	17.716603988595242	0.45270111413429265	10	0.9090909090909091	8.394462393313676	0.47941926238848526	11	1.0	0.11433603189082761	1.5053286930855136	11	1.0	0.1925299990805838	0.8523146990727569
chr1	77978619	77979597	FUBP1	DNAJB4	-	+	64	divergent_classic	77979110	77979174	0.8384458077709611	56.45	37.0	11	1.0	29.71511988199254	0.332898600602244	11	1.0	39.10067331145618	0.6076942582781617	10	0.9090909090909091	0.6641438485855427	1.0875961984830842	11	1.0	0.44045977438245526	0.8697662985167155
chr1	86914424	86915531	SELENOF	HS2ST1	-	+	210	divergent_classic	86914424	86914634	0.950316169828365	60.7	89.0	11	1.0	34.11608232926413	0.5507835280076313	11	1.0	10.442828344753146	0.6752712244355376	11	1.0	0.43728177421491865	0.6927144911852781	11	1.0	0.293816784668906	0.7936295078800841
chr1	100895032	100896252	EXTL2	SLC30A7	-	+	896	divergent_classic	100895179	100896075	0.4122950819672131	64.95	26.5	11	1.0	32.969822621063436	0.48416803442532724	11	1.0	19.3216630456533	0.5536462964915959	11	1.0	0.5085110372675248	0.8231690197978507	11	1.0	0.4928700534399902	0.7007446322247235
chr1	111139478	111140681	CEPT1	DRAM2	+	-	725	divergent_overlapping	111139478	111140203	0.8944305901911886	66.8	95.0	11	1.0	38.01481602364536	0.4521496771002903	11	1.0	18.781835225542597	0.6260811912815294	10	0.9090909090909091	0.5143446120801646	1.0564842959378389	11	1.0	0.3932076829477708	0.5507789539929046
chr1	111448682	111449580	ATP5PB	WDR77	+	-	393	divergent_overlapping	111448863	111449256	1.0	62.6	68.0	11	1.0	33.38320994410195	0.5712048689389898	10	0.9090909090909091	9.762189700105157	0.5423698687487076	11	1.0	0.38253743808625773	1.0355333962048072	11	1.0	0.42423941366464396	0.8896907201321055
chr1	112618969	112620825	CAPZA1	ST7L	+	-	1021	divergent_overlapping	112619804	112620825	0.5280172413793104	61.3	76.0	11	1.0	34.84863996299193	0.5514449199208784	11	1.0	28.453618228061966	0.6222853083456021	11	1.0	0.4497037697665181	0.6473888786293415	11	1.0	0.4034055447323184	0.5231870419943038
chr1	117929217	117930097	GDAP2	WDR3	-	+	98	divergent_classic	117929621	117929719	1.0	64.2	73.0	11	1.0	36.86712976645011	0.42433081846229587	10	0.9090909090909091	7.970915501629237	0.6279912767006959	11	1.0	0.4862392662120753	0.9814112949269682	11	1.0	0.3664570698491323	0.8528072815419611
chr1	145823593	145824433	POLR3C	RNF115	+	-	43	divergent_overlapping	145824052	145824095	1.0	62.7	81.0	11	1.0	34.84371520126328	0.5702423273155134	11	1.0	17.973202938077396	0.4626405449154096	11	1.0	0.30385665211616913	1.0022762410283352	11	1.0	0.18609270357811167	0.5448518883257562
chr1	150268199	150269580	C1orf54	APH1A	+	-	1381	divergent_overlapping	150268199	150269580	0.4395365677045619	65.7	54.0	11	1.0	32.568125645503635	0.45354129041126107	11	1.0	14.649862254466107	0.7024126366618555	11	1.0	0.41382787606577126	0.6490413127990309	11	1.0	0.47525422686997965	0.7357228964918798
chr1	151008259	151008616	MINDY1	PRUNE1	-	+	43	divergent_classic	151008376	151008419	1.0	68.9	42.0	11	1.0	14.66788995754394	0.5001450246290506	11	1.0	7.197947231034135	0.7337347207995334	11	1.0	0.16892642504102803	1.3687016470165163	10	0.9090909090909091	0.38889535603688663	1.7421406509694317
chr1	151070325	151071095	CDC42SE1	GABPB2	-	+	252	divergent_classic	151070325	151070577	0.9103896103896104	58.1	47.0	11	1.0	31.881792533864473	0.786920158925004	10	0.9090909090909091	27.92844142878569	0.7690643157682073	11	1.0	0.3306141019363025	1.125122065887188	11	1.0	0.29278736838943037	0.73399373943729
chr1	154220178	154221312	UBAP2L	C1orf43	+	-	459	divergent_overlapping	154220178	154220637	0.8333333333333334	57.4	79.0	11	1.0	28.948645019516025	0.5671489201077821	11	1.0	22.81821560612546	0.5675929603570079	11	1.0	0.3732383407753918	1.0323050953172017	11	1.0	0.2539771094512128	0.5946744752473263
chr1	154973761	154975010	SHC1	CKS1B	-	+	257	divergent_classic	154974395	154974652	0.8046437149719776	55.900000000000006	40.0	11	1.0	17.031393176897286	0.4066263445884531	11	1.0	22.358845240196665	0.5319762908660435	11	1.0	0.22306536102399158	0.8593713763322601	11	1.0	0.24321352450472764	0.7634524183983419
chr1	155208694	155209168	MTX1	THBS3	+	-	357	divergent_overlapping	155208694	155209051	0.869198312236287	72.6	41.0	11	1.0	41.17844019253499	0.7331950166828326	11	1.0	31.956579540367553	0.8828027285926677	11	1.0	0.40408152380996065	1.2368367898523565	11	1.0	0.4810679812662016	1.1367692451328195
chr1	155562495	155563489	ASH1L	MSTO1	-	+	72	divergent_classic	155563162	155563234	1.0	60.5	95.0	11	1.0	37.684909053620764	0.6841093106056663	11	1.0	20.48505967904036	0.5496301937365399	10	0.9090909090909091	0.34992809324777935	1.7022945071880047	11	1.0	0.2832597394034895	0.44705527482320123
chr1	155687959	155689334	DAP3	YY1AP1	+	-	1041	divergent_overlapping	155687959	155689000	0.9403636363636364	63.2	120.0	11	1.0	36.56708647437462	0.6136708236599757	11	1.0	22.870465561129564	0.677950434745638	11	1.0	0.44809483181124465	0.8318416467193268	11	1.0	0.36339127447576863	0.5522790683454676
chr1	156053171	156054849	UBQLN4	LAMTOR2	-	+	983	divergent_classic	156053798	156054781	0.7955899880810489	62.35	52.5	11	1.0	23.972841049482714	0.36642382955700326	11	1.0	15.54451272128353	0.5506053053064303	11	1.0	0.30026683236379836	0.7928640972072721	11	1.0	0.2741840167941294	0.9964642946015735
chr1	156728319	156729124	METTL25B	ISG20L2	+	-	325	divergent_overlapping	156728441	156728766	1.0	60.9	76.0	11	1.0	25.38476577687483	0.48388219351338146	11	1.0	14.34221769669078	1.130329579808961	11	1.0	0.3760663888101835	0.7516282130253018	11	1.0	0.24422872899652323	0.8634340804487809
chr1	160343138	160343566	NCSTN	COPA	+	-	273	divergent_overlapping	160343293	160343566	0.9579439252336449	63.7	38.0	11	1.0	26.869682563394438	0.45637839380851425	11	1.0	15.205209686897252	0.4586610560956251	11	1.0	0.40943775226472034	0.9719660093045182	11	1.0	0.34010270013345284	0.9527562141559978
chr1	161117932	161118322	PFDN2	NIT1	-	+	30	divergent_classic	161118055	161118085	1.0	68.7	44.0	11	1.0	30.834836795179992	0.5144001450119208	11	1.0	16.12119023718108	0.8842936524302395	11	1.0	0.3882826228953881	0.7487546018738965	11	1.0	0.3292517624683338	1.2137181030487416
chr1	165827416	165828446	UCK2	TMCO1	+	-	142	divergent_overlapping	165827613	165827755	1.0	70.0	127.0	11	1.0	30.809115126591042	0.5504008544553165	11	1.0	16.291066387743992	0.6304184163511984	11	1.0	0.36116290319310934	0.620529846343879	11	1.0	0.26078523561048994	0.7973226042750567
chr1	167935782	167937563	DCAF6	MPC2	+	-	1290	divergent_overlapping	167935782	167937072	0.8124649073554183	61.35	57.0	11	1.0	33.39842064681959	0.5401709776368856	11	1.0	21.002744721846838	0.49811148483426504	11	1.0	0.42329634566918256	0.6561713814282463	11	1.0	0.29557059061937063	0.5384429939994174
chr1	183635148	183636198	ARPC5	RGL1	-	+	301	divergent_classic	183635783	183636084	1.0	65.3	99.0	11	1.0	37.084386277641656	0.6242547735505194	11	1.0	13.675219464262826	0.6309561614590969	11	1.0	0.38953607835159415	0.7903346956490243	11	1.0	0.4209944153649307	1.1382783608375184
chr1	185156718	185157573	TRMT1L	SWT1	-	+	7	divergent_classic	185157072	185157079	1.0	65.4	73.0	11	1.0	27.00152891626624	0.6215752874313653	11	1.0	13.046105675588636	0.6613107541690822	11	1.0	0.37930797092351176	0.6232769920001224	11	1.0	0.1526278219351066	0.7761462787309219
chr1	186374992	186375837	TPR	ODR4	-	+	144	divergent_classic	186375693	186375837	0.8568047337278106	65.9	69.0	11	1.0	24.303308752244323	0.791501954676007	11	1.0	14.04525357871887	0.5614367071363154	11	1.0	0.36140280342236175	0.9399994921983879	11	1.0	0.22131606983647564	0.6097594533801777
chr1	193059091	193060141	RO60	UCHL5	+	-	627	divergent_overlapping	193059453	193060080	1.0	65.6	94.0	11	1.0	35.06609198190585	0.5840521974137292	11	1.0	19.420723692322362	0.5269871228416971	11	1.0	0.4674974161912008	0.8115322059920166	11	1.0	0.24896313927363184	0.6490932797637475
chr1	212791524	212792005	NSL1	TATDN3	-	+	45	divergent_classic	212791782	212791827	1.0	64.2	45.0	11	1.0	36.638922311083135	0.6750372338750498	11	1.0	12.516277220336972	0.49153748262315067	11	1.0	0.5266873296614272	0.7716598974858774	11	1.0	0.38922399459869966	1.1671794913293325
chr1	222711984	222713210	BROX	AIDA	+	-	658	divergent_overlapping	222712552	222713210	0.7373572593800979	61.6	70.0	11	1.0	31.117455187285678	0.44002497451161715	11	1.0	26.038354586046673	0.5883643237707413	11	1.0	0.37154886906574075	1.0559695586609081	11	1.0	0.3952837748117311	0.8973681513971346
chr1	229625381	229626552	TAF5L	URB2	-	+	124	divergent_classic	229626122	229626246	1.0	72.9	147.0	11	1.0	30.329779829508933	0.5448664973072092	9	0.8181818181818182	5.322009696831704	0.9441890112028384	11	1.0	0.3737422459929892	0.9577299009352659	11	1.0	0.2935006688661732	0.6161611846282519
chr1	231241050	231241497	C1orf131	GNPAT	-	+	19	divergent_classic	231241187	231241206	1.0	66.2	41.0	11	1.0	31.66539824481706	0.5507063657072021	11	1.0	11.717284094254518	0.7944478657669127	11	1.0	0.4706635646323545	0.8681037230822043	11	1.0	0.2530351679308991	0.7410989097177062
chr1	231337103	231338636	SPRTN	EXOC8	+	-	749	divergent_overlapping	231337103	231337852	0.7286366601435095	62.0	101.0	11	1.0	36.87775341725242	0.45448847926593156	11	1.0	16.752643829111904	0.6948274258307581	11	1.0	0.5171377982388633	0.8127019801886067	11	1.0	0.35394892932083566	0.6025196493675435
chr1	235327023	235328845	GGPS1	ARID4B	+	-	870	divergent_overlapping	235327349	235328219	1.0	63.4	157.0	11	1.0	35.05682932724558	0.5956413857142261	11	1.0	15.000637449447554	0.4805523928367416	11	1.0	0.49962202436480685	0.804939190852026	11	1.0	0.3055700753971236	0.6288249572304878
chr1	243254439	243256033	CEP170	SDCCAG8	-	+	685	divergent_classic	243255348	243256033	0.6486825595984943	63.2	91.0	11	1.0	33.69777586088083	0.5619976084103544	11	1.0	15.344525861026103	0.49454290622103925	11	1.0	0.30997679325021543	0.7081280861655906	11	1.0	0.22878485899104148	0.6665804330652861
chr1	246565905	246566974	TFB2M	CNST	-	+	182	divergent_classic	246566261	246566443	1.0	61.3	88.0	11	1.0	40.97584756687519	0.5240061123400889	11	1.0	13.313384883304735	0.6613370971857168	11	1.0	0.3928055897113042	0.5048205394389343	11	1.0	0.37887968111854264	0.6728027869711295
chr10	1048397	1049654	IDI1	WDR37	-	+	418	divergent_classic	1049119	1049537	1.0	59.3	123.0	11	1.0	28.898160763111363	0.5055965321042398	11	1.0	22.64907840843924	0.7481939180544157	11	1.0	0.31711470079424564	0.9338006031168414	11	1.0	0.2960934515295656	0.6760146559196198
chr10	5888951	5890674	ANKRD16	FBH1	-	+	296	divergent_classic	5889906	5890202	1.0	73.7	208.0	11	1.0	24.35474258160492	0.573641238191551	10	0.9090909090909091	6.846396432037732	0.8377279488643304	11	1.0	0.350699069806782	0.7513328947940622	11	1.0	0.2247029471952532	0.7208403592347702
chr10	7787625	7788554	KIN	ATP5F1C	-	+	153	divergent_classic	7787993	7788146	1.0	68.1	77.0	11	1.0	41.871780672333074	0.5599320866908221	11	1.0	13.140282945793968	0.7326369674748753	11	1.0	0.32941735445440634	0.7400594514274372	11	1.0	0.4141906697447407	0.9005504480112682
chr10	12195833	12196378	NUDT5	CDC123	-	+	73	divergent_classic	12195891	12195964	1.0	58.2	46.0	11	1.0	29.767902000338157	0.459160865550032	11	1.0	20.312048896759592	0.5908570345522792	11	1.0	0.3218195572941211	0.8715594732571853	11	1.0	0.3137455867483389	0.5288421617899921
chr10	18659184	18659782	NSUN6	ARL5B	-	+	145	divergent_classic	18659285	18659430	1.0	68.1	69.0	11	1.0	30.789257384977574	0.4531478151266939	11	1.0	21.486505516335708	0.5918930181994689	11	1.0	0.460702739161758	0.7164839403055417	11	1.0	0.25498360052459934	0.8672976230557707
chr10	27154101	27155565	MASTL	YME1L1	+	-	443	divergent_overlapping	27154823	27155266	0.5027322404371585	57.25	30.0	11	1.0	30.868808972307455	0.38952765995311206	11	1.0	28.785624511505077	0.5907470392436036	11	1.0	0.48484669738725705	0.6154670418085281	11	1.0	0.3517297171014312	0.6742928697353504
chr10	35126560	35127757	CREM	CUL2	+	-	216	divergent_overlapping	35126790	35127006	1.0	50.6	93.0	11	1.0	25.905191555037444	0.5169454648326072	11	1.0	23.304981059590386	0.5239627804641462	11	1.0	0.37794194494624805	1.2760118879813012	11	1.0	0.23234849011508893	0.5273115454011461
chr10	63521110	63522270	REEP3	JMJD1C	+	-	450	divergent_overlapping	63521400	63521850	1.0	52.9	100.0	11	1.0	26.352094912693623	0.5987547476260993	11	1.0	17.302942569805303	0.44751083151434234	11	1.0	0.340653199654816	0.9719454033397881	11	1.0	0.3350890028218894	0.5191910506502339
chr10	68331173	68333049	HNRNPH3	PBLD	+	-	1876	divergent_overlapping	68331173	68333049	0.8091684434968017	62.8	128.0	11	1.0	30.82740678995901	0.42081205929193566	11	1.0	28.300772142117054	0.5837032451243244	11	1.0	0.5572880192430978	0.7929622515480255	11	1.0	0.4080116414375825	0.5754313860180472
chr10	74150842	74151722	AP3M1	ADK	-	+	359	divergent_classic	74150842	74151201	0.7318181818181818	67.5	50.0	11	1.0	27.532579754971696	0.435184863079927	11	1.0	19.443965450655497	0.5933883215533856	11	1.0	0.4774258572788083	0.9591597445265241	11	1.0	0.26709881875221986	0.8237162354195391
chr10	87094000	87095741	SHLD2	GLUD1	+	-	683	divergent_overlapping	87094160	87094843	1.0	64.2	167.0	11	1.0	25.42174058830409	0.5288729992555185	11	1.0	14.246126832776316	0.5415526206503534	11	1.0	0.3768459959274049	0.744930979048069	11	1.0	0.33507590204712695	0.8249479236028274
chr10	92290666	92291655	CPEB3	MARCHF5	-	+	88	divergent_classic	92291078	92291166	1.0	70.5	99.0	11	1.0	44.348427672919854	0.7255712247153197	11	1.0	13.461694836437125	0.583464616683324	11	1.0	0.2830220254985453	0.8139118283353716	11	1.0	0.23197077139853525	0.5415086423665293
chr10	97426021	97426537	RRP12	PGAM1	-	+	114	divergent_classic	97426076	97426190	1.0	72.9	70.0	11	1.0	16.87276724403366	0.5154463218781568	10	0.9090909090909091	9.251294055006111	0.5040514246472743	11	1.0	0.20569034276295187	1.3279498019442237	11	1.0	0.26112597830103373	0.9077378639424716
chr10	97445719	97446517	EXOSC1	ZDHHC16	-	+	152	divergent_classic	97446017	97446169	1.0	63.2	65.0	11	1.0	38.362205595885776	0.5005245360918753	10	0.9090909090909091	6.709760990824964	0.71040379629765	11	1.0	0.29446202948120215	0.9666340865417846	10	0.9090909090909091	0.6398590491865807	1.7105215380564152
chr10	100529071	100530000	HIF1AN	NDUFB8	+	-	929	divergent_overlapping	100529071	100530000	0.6372443487621098	61.5	47.0	11	1.0	37.80093225212237	0.47105286522241585	11	1.0	12.089474565128574	0.7869294076680795	11	1.0	0.6311105490627616	0.7824765507890483	11	1.0	0.49488980054766024	0.6785460613215982
chr10	100986776	100987744	TWNK	MRPL43	+	-	149	divergent_overlapping	100987366	100987515	1.0	65.7	96.0	11	1.0	36.35783964959766	0.37390861940273046	10	0.9090909090909091	8.633138159640467	0.9101412063894362	10	0.9090909090909091	0.6864843809307078	0.871382746434417	11	1.0	0.46608347026150265	0.815140639333845
chr10	102502467	102504398	ACTR1A	SUFU	-	+	1259	divergent_classic	102502712	102503971	0.4034179181771103	64.69999999999999	40.5	11	1.0	16.16948461322377	0.3830775024529129	9	0.8181818181818182	4.519441467082825	0.48883552047587187	11	1.0	0.2826775053897829	0.6658245557269526	11	1.0	0.3045393037736512	0.672184616238018
chr10	103396063	103396727	ATP5MK	PDCD11	-	+	133	divergent_classic	103396492	103396625	1.0	61.4	56.0	11	1.0	32.89179659990465	0.5396329811203573	11	1.0	10.432758471662096	0.5959211414839903	10	0.9090909090909091	0.6595533196417551	1.0361322455000377	11	1.0	0.4150519870199545	0.4651354783380682
chr10	110918549	110920136	BBIP1	SHOC2	-	+	165	divergent_classic	110919201	110919366	1.0	60.6	131.0	11	1.0	22.06944541802882	0.6489129102476202	11	1.0	16.116786359721864	0.4476636705525795	11	1.0	0.17705839756833394	0.528795557497455	11	1.0	0.2124077025691663	0.48015521816436196
chr10	112446846	112447572	VTI1A	ZDHHC6	+	-	575	divergent_overlapping	112446997	112447572	0.9862258953168044	61.2	58.0	11	1.0	39.85067189403316	0.5913299445204816	11	1.0	21.2172090610612	0.4795470623857027	11	1.0	0.46075020856183174	0.8458243775207797	11	1.0	0.4560947863777953	1.14139942520745
chr10	113854383	113855297	DCLRE1A	NHLRC2	-	+	277	divergent_classic	113854383	113854660	0.7472647702407003	66.2	66.0	11	1.0	45.02890165646148	0.5909214532321464	11	1.0	26.432460773435775	0.46048453707343995	11	1.0	0.4714799063786737	0.9378160959738632	11	1.0	0.4166665933640571	0.6236187460574013
chr10	119892491	119892995	MCMBP	SEC23IP	-	+	150	divergent_classic	119892556	119892706	1.0	64.3	48.0	11	1.0	28.602143105851624	0.5387463608886286	11	1.0	11.648825102445308	0.9767973155807526	10	0.9090909090909091	0.5842794689119127	1.0521550001213593	11	1.0	0.3398613814232357	1.0857032143169008
chr10	123008242	123009381	IKZF5	ACADSB	-	+	166	divergent_classic	123008812	123008978	1.0	64.1	88.0	11	1.0	37.78412780108742	0.6082745480301636	11	1.0	11.155698960925543	0.5595199978209823	11	1.0	0.5938453694406035	0.7243464565374553	11	1.0	0.41164459181567054	0.7188464882010046
chr10	125822760	125823628	UROS	BCCIP	-	+	287	divergent_classic	125823258	125823545	1.0	67.9	83.0	11	1.0	29.188221428965644	0.43893050520017857	11	1.0	23.210551099516554	0.6422380434347348	10	0.9090909090909091	0.6921004381009728	0.9267398988795795	11	1.0	0.2969559703457811	0.699551623188505
