chrom	start	end	gene1	gene2	gene1_strand	gene2_strand	inter_tss_distance	pair_type	orig_start	orig_end	cpg_overlap_fraction	cpg_obs_exp	cpg_gc_pct	H3K4me3_n_present	H3K4me3_frac_present	H3K4me3_mean	H3K4me3_cv	H3K27ac_n_present	H3K27ac_frac_present	H3K27ac_mean	H3K27ac_cv
chr1	42816903	42817419	ERMAP	SVBP	+	-	276	divergent_overlapping	42817121	42817397	1.0	75.8	58.0	11	1.0	24.733663253525012	0.6930747551490877	11	1.0	16.52874848639108	0.3670534514809944
chr1	45010553	45011350	UROD	HECTD3	+	-	375	divergent_overlapping	45010949	45011324	1.0	70.9	78.0	11	1.0	34.233730994442745	0.4418661052870108	9	0.8181818181818182	5.280612413319124	0.8864147031891202
chr1	45339892	45340893	TOE1	MUTYH	+	-	842	divergent_overlapping	45340051	45340893	0.41858141858141856	69.7	56.0	11	1.0	33.867180911889584	0.5983004983329224	11	1.0	18.82590125369555	0.6973188895252549
chr1	46301753	46303697	LRRC41	UQCRH	-	+	81	divergent_classic	46303616	46303697	0.8287037037037037	70.9	155.0	11	1.0	34.33155424805835	0.5554601457925884	11	1.0	21.15629798816605	0.6592146562075699
chr1	50959775	50960744	FAF1	CDKN2C	-	+	477	divergent_classic	50960267	50960744	0.6429308565531475	58.3	65.0	11	1.0	26.152512476377762	0.4219559926149206	10	0.9090909090909091	8.887824459263198	0.6294684104328048
chr1	52055074	52056624	TXNDC12	BTF3L4	-	+	1007	divergent_classic	52055191	52056198	0.5767741935483871	63.6	39.5	11	1.0	28.707447033013057	0.41535668138202786	11	1.0	15.815558164576737	0.5650648351878115
chr1	52927208	52927973	ECHDC2	SCP2	-	+	63	divergent_classic	52927212	52927275	1.0	67.7	64.0	11	1.0	30.561325457864385	0.6056161853513594	9	0.8181818181818182	5.948215812303067	1.0974913096210082
chr1	54052928	54053626	TMEM59	TCEANC2	-	+	79	divergent_classic	54053504	54053583	1.0	64.5	55.0	11	1.0	23.886830309160526	0.5894567446676822	11	1.0	12.889963881377856	0.6958025047455537
chr1	63593266	63594242	PGM1	ITGB3BP	+	-	311	divergent_overlapping	63593410	63593721	1.0	66.7	99.0	11	1.0	35.979673976202314	0.6855084563493269	10	0.9090909090909091	9.95908989883249	0.7728745420344164
chr1	70205500	70205759	LRRC40	SRSF11	-	+	102	divergent_classic	70205579	70205681	1.0	67.2	28.0	11	1.0	17.716603988595242	0.45270111413429265	10	0.9090909090909091	8.394462393313676	0.47941926238848526
chr1	77978619	77979597	FUBP1	DNAJB4	-	+	64	divergent_classic	77979110	77979174	0.8384458077709611	56.45	37.0	11	1.0	29.71511988199254	0.332898600602244	11	1.0	39.10067331145618	0.6076942582781617
chr1	86914424	86915531	SELENOF	HS2ST1	-	+	210	divergent_classic	86914424	86914634	0.950316169828365	60.7	89.0	11	1.0	34.11608232926413	0.5507835280076313	11	1.0	10.442828344753146	0.6752712244355376
chr1	100895032	100896252	EXTL2	SLC30A7	-	+	896	divergent_classic	100895179	100896075	0.4122950819672131	64.95	26.5	11	1.0	32.969822621063436	0.48416803442532724	11	1.0	19.3216630456533	0.5536462964915959
chr1	111139478	111140681	CEPT1	DRAM2	+	-	725	divergent_overlapping	111139478	111140203	0.8944305901911886	66.8	95.0	11	1.0	38.01481602364536	0.4521496771002903	11	1.0	18.781835225542597	0.6260811912815294
chr1	111448682	111449580	ATP5PB	WDR77	+	-	393	divergent_overlapping	111448863	111449256	1.0	62.6	68.0	11	1.0	33.38320994410195	0.5712048689389898	10	0.9090909090909091	9.762189700105157	0.5423698687487076
chr1	112618969	112620825	CAPZA1	ST7L	+	-	1021	divergent_overlapping	112619804	112620825	0.5280172413793104	61.3	76.0	11	1.0	34.84863996299193	0.5514449199208784	11	1.0	28.453618228061966	0.6222853083456021
chr1	117929217	117930097	GDAP2	WDR3	-	+	98	divergent_classic	117929621	117929719	1.0	64.2	73.0	11	1.0	36.86712976645011	0.42433081846229587	10	0.9090909090909091	7.970915501629237	0.6279912767006959
chr1	145823593	145824433	POLR3C	RNF115	+	-	43	divergent_overlapping	145824052	145824095	1.0	62.7	81.0	11	1.0	34.84371520126328	0.5702423273155134	11	1.0	17.973202938077396	0.4626405449154096
chr1	150268199	150269580	C1orf54	APH1A	+	-	1381	divergent_overlapping	150268199	150269580	0.4395365677045619	65.7	54.0	11	1.0	32.568125645503635	0.45354129041126107	11	1.0	14.649862254466107	0.7024126366618555
chr1	151008259	151008616	MINDY1	PRUNE1	-	+	43	divergent_classic	151008376	151008419	1.0	68.9	42.0	11	1.0	14.66788995754394	0.5001450246290506	11	1.0	7.197947231034135	0.7337347207995334
chr1	151070325	151071095	CDC42SE1	GABPB2	-	+	252	divergent_classic	151070325	151070577	0.9103896103896104	58.1	47.0	11	1.0	31.881792533864473	0.786920158925004	10	0.9090909090909091	27.92844142878569	0.7690643157682073
chr1	154220178	154221312	UBAP2L	C1orf43	+	-	459	divergent_overlapping	154220178	154220637	0.8333333333333334	57.4	79.0	11	1.0	28.948645019516025	0.5671489201077821	11	1.0	22.81821560612546	0.5675929603570079
chr1	154973761	154975010	SHC1	CKS1B	-	+	257	divergent_classic	154974395	154974652	0.8046437149719776	55.900000000000006	40.0	11	1.0	17.031393176897286	0.4066263445884531	11	1.0	22.358845240196665	0.5319762908660435
chr1	155208694	155209168	MTX1	THBS3	+	-	357	divergent_overlapping	155208694	155209051	0.869198312236287	72.6	41.0	11	1.0	41.17844019253499	0.7331950166828326	11	1.0	31.956579540367553	0.8828027285926677
chr1	155562495	155563489	ASH1L	MSTO1	-	+	72	divergent_classic	155563162	155563234	1.0	60.5	95.0	11	1.0	37.684909053620764	0.6841093106056663	11	1.0	20.48505967904036	0.5496301937365399
chr1	155687959	155689334	DAP3	YY1AP1	+	-	1041	divergent_overlapping	155687959	155689000	0.9403636363636364	63.2	120.0	11	1.0	36.56708647437462	0.6136708236599757	11	1.0	22.870465561129564	0.677950434745638
chr1	156053171	156054849	UBQLN4	LAMTOR2	-	+	983	divergent_classic	156053798	156054781	0.7955899880810489	62.35	52.5	11	1.0	23.972841049482714	0.36642382955700326	11	1.0	15.54451272128353	0.5506053053064303
chr1	156728319	156729124	METTL25B	ISG20L2	+	-	325	divergent_overlapping	156728441	156728766	1.0	60.9	76.0	11	1.0	25.38476577687483	0.48388219351338146	11	1.0	14.34221769669078	1.130329579808961
chr1	160343138	160343566	NCSTN	COPA	+	-	273	divergent_overlapping	160343293	160343566	0.9579439252336449	63.7	38.0	11	1.0	26.869682563394438	0.45637839380851425	11	1.0	15.205209686897252	0.4586610560956251
chr1	161117932	161118322	PFDN2	NIT1	-	+	30	divergent_classic	161118055	161118085	1.0	68.7	44.0	11	1.0	30.834836795179992	0.5144001450119208	11	1.0	16.12119023718108	0.8842936524302395
chr1	165827416	165828446	UCK2	TMCO1	+	-	142	divergent_overlapping	165827613	165827755	1.0	70.0	127.0	11	1.0	30.809115126591042	0.5504008544553165	11	1.0	16.291066387743992	0.6304184163511984
chr1	167935782	167937563	DCAF6	MPC2	+	-	1290	divergent_overlapping	167935782	167937072	0.8124649073554183	61.35	57.0	11	1.0	33.39842064681959	0.5401709776368856	11	1.0	21.002744721846838	0.49811148483426504
chr1	183635148	183636198	ARPC5	RGL1	-	+	301	divergent_classic	183635783	183636084	1.0	65.3	99.0	11	1.0	37.084386277641656	0.6242547735505194	11	1.0	13.675219464262826	0.6309561614590969
chr1	185156718	185157573	TRMT1L	SWT1	-	+	7	divergent_classic	185157072	185157079	1.0	65.4	73.0	11	1.0	27.00152891626624	0.6215752874313653	11	1.0	13.046105675588636	0.6613107541690822
chr1	186374992	186375837	TPR	ODR4	-	+	144	divergent_classic	186375693	186375837	0.8568047337278106	65.9	69.0	11	1.0	24.303308752244323	0.791501954676007	11	1.0	14.04525357871887	0.5614367071363154
chr1	193059091	193060141	RO60	UCHL5	+	-	627	divergent_overlapping	193059453	193060080	1.0	65.6	94.0	11	1.0	35.06609198190585	0.5840521974137292	11	1.0	19.420723692322362	0.5269871228416971
chr1	212791524	212792005	NSL1	TATDN3	-	+	45	divergent_classic	212791782	212791827	1.0	64.2	45.0	11	1.0	36.638922311083135	0.6750372338750498	11	1.0	12.516277220336972	0.49153748262315067
chr1	222711984	222713210	BROX	AIDA	+	-	658	divergent_overlapping	222712552	222713210	0.7373572593800979	61.6	70.0	11	1.0	31.117455187285678	0.44002497451161715	11	1.0	26.038354586046673	0.5883643237707413
chr1	229625381	229626552	TAF5L	URB2	-	+	124	divergent_classic	229626122	229626246	1.0	72.9	147.0	11	1.0	30.329779829508933	0.5448664973072092	9	0.8181818181818182	5.322009696831704	0.9441890112028384
chr1	231241050	231241497	C1orf131	GNPAT	-	+	19	divergent_classic	231241187	231241206	1.0	66.2	41.0	11	1.0	31.66539824481706	0.5507063657072021	11	1.0	11.717284094254518	0.7944478657669127
chr1	231337103	231338636	SPRTN	EXOC8	+	-	749	divergent_overlapping	231337103	231337852	0.7286366601435095	62.0	101.0	11	1.0	36.87775341725242	0.45448847926593156	11	1.0	16.752643829111904	0.6948274258307581
chr1	235327023	235328845	GGPS1	ARID4B	+	-	870	divergent_overlapping	235327349	235328219	1.0	63.4	157.0	11	1.0	35.05682932724558	0.5956413857142261	11	1.0	15.000637449447554	0.4805523928367416
chr1	243254439	243256033	CEP170	SDCCAG8	-	+	685	divergent_classic	243255348	243256033	0.6486825595984943	63.2	91.0	11	1.0	33.69777586088083	0.5619976084103544	11	1.0	15.344525861026103	0.49454290622103925
chr1	246565905	246566974	TFB2M	CNST	-	+	182	divergent_classic	246566261	246566443	1.0	61.3	88.0	11	1.0	40.97584756687519	0.5240061123400889	11	1.0	13.313384883304735	0.6613370971857168
chr10	1048397	1049654	IDI1	WDR37	-	+	418	divergent_classic	1049119	1049537	1.0	59.3	123.0	11	1.0	28.898160763111363	0.5055965321042398	11	1.0	22.64907840843924	0.7481939180544157
chr10	5888951	5890674	ANKRD16	FBH1	-	+	296	divergent_classic	5889906	5890202	1.0	73.7	208.0	11	1.0	24.35474258160492	0.573641238191551	10	0.9090909090909091	6.846396432037732	0.8377279488643304
chr10	7787625	7788554	KIN	ATP5F1C	-	+	153	divergent_classic	7787993	7788146	1.0	68.1	77.0	11	1.0	41.871780672333074	0.5599320866908221	11	1.0	13.140282945793968	0.7326369674748753
chr10	12195833	12196378	NUDT5	CDC123	-	+	73	divergent_classic	12195891	12195964	1.0	58.2	46.0	11	1.0	29.767902000338157	0.459160865550032	11	1.0	20.312048896759592	0.5908570345522792
chr10	18659184	18659782	NSUN6	ARL5B	-	+	145	divergent_classic	18659285	18659430	1.0	68.1	69.0	11	1.0	30.789257384977574	0.4531478151266939	11	1.0	21.486505516335708	0.5918930181994689
chr10	27154101	27155565	MASTL	YME1L1	+	-	443	divergent_overlapping	27154823	27155266	0.5027322404371585	57.25	30.0	11	1.0	30.868808972307455	0.38952765995311206	11	1.0	28.785624511505077	0.5907470392436036
chr10	35126560	35127757	CREM	CUL2	+	-	216	divergent_overlapping	35126790	35127006	1.0	50.6	93.0	11	1.0	25.905191555037444	0.5169454648326072	11	1.0	23.304981059590386	0.5239627804641462
chr10	63521110	63522270	REEP3	JMJD1C	+	-	450	divergent_overlapping	63521400	63521850	1.0	52.9	100.0	11	1.0	26.352094912693623	0.5987547476260993	11	1.0	17.302942569805303	0.44751083151434234
chr10	68331173	68333049	HNRNPH3	PBLD	+	-	1876	divergent_overlapping	68331173	68333049	0.8091684434968017	62.8	128.0	11	1.0	30.82740678995901	0.42081205929193566	11	1.0	28.300772142117054	0.5837032451243244
chr10	74150842	74151722	AP3M1	ADK	-	+	359	divergent_classic	74150842	74151201	0.7318181818181818	67.5	50.0	11	1.0	27.532579754971696	0.435184863079927	11	1.0	19.443965450655497	0.5933883215533856
chr10	87094000	87095741	SHLD2	GLUD1	+	-	683	divergent_overlapping	87094160	87094843	1.0	64.2	167.0	11	1.0	25.42174058830409	0.5288729992555185	11	1.0	14.246126832776316	0.5415526206503534
chr10	92290666	92291655	CPEB3	MARCHF5	-	+	88	divergent_classic	92291078	92291166	1.0	70.5	99.0	11	1.0	44.348427672919854	0.7255712247153197	11	1.0	13.461694836437125	0.583464616683324
chr10	97426021	97426537	RRP12	PGAM1	-	+	114	divergent_classic	97426076	97426190	1.0	72.9	70.0	11	1.0	16.87276724403366	0.5154463218781568	10	0.9090909090909091	9.251294055006111	0.5040514246472743
chr10	97445719	97446517	EXOSC1	ZDHHC16	-	+	152	divergent_classic	97446017	97446169	1.0	63.2	65.0	11	1.0	38.362205595885776	0.5005245360918753	10	0.9090909090909091	6.709760990824964	0.71040379629765
chr10	100529071	100530000	HIF1AN	NDUFB8	+	-	929	divergent_overlapping	100529071	100530000	0.6372443487621098	61.5	47.0	11	1.0	37.80093225212237	0.47105286522241585	11	1.0	12.089474565128574	0.7869294076680795
chr10	100986776	100987744	TWNK	MRPL43	+	-	149	divergent_overlapping	100987366	100987515	1.0	65.7	96.0	11	1.0	36.35783964959766	0.37390861940273046	10	0.9090909090909091	8.633138159640467	0.9101412063894362
chr10	102502467	102504398	ACTR1A	SUFU	-	+	1259	divergent_classic	102502712	102503971	0.4034179181771103	64.69999999999999	40.5	11	1.0	16.16948461322377	0.3830775024529129	9	0.8181818181818182	4.519441467082825	0.48883552047587187
chr10	103396063	103396727	ATP5MK	PDCD11	-	+	133	divergent_classic	103396492	103396625	1.0	61.4	56.0	11	1.0	32.89179659990465	0.5396329811203573	11	1.0	10.432758471662096	0.5959211414839903
chr10	110918549	110920136	BBIP1	SHOC2	-	+	165	divergent_classic	110919201	110919366	1.0	60.6	131.0	11	1.0	22.06944541802882	0.6489129102476202	11	1.0	16.116786359721864	0.4476636705525795
chr10	112446846	112447572	VTI1A	ZDHHC6	+	-	575	divergent_overlapping	112446997	112447572	0.9862258953168044	61.2	58.0	11	1.0	39.85067189403316	0.5913299445204816	11	1.0	21.2172090610612	0.4795470623857027
chr10	113854383	113855297	DCLRE1A	NHLRC2	-	+	277	divergent_classic	113854383	113854660	0.7472647702407003	66.2	66.0	11	1.0	45.02890165646148	0.5909214532321464	11	1.0	26.432460773435775	0.46048453707343995
chr10	119892491	119892995	MCMBP	SEC23IP	-	+	150	divergent_classic	119892556	119892706	1.0	64.3	48.0	11	1.0	28.602143105851624	0.5387463608886286	11	1.0	11.648825102445308	0.9767973155807526
chr10	123008242	123009381	IKZF5	ACADSB	-	+	166	divergent_classic	123008812	123008978	1.0	64.1	88.0	11	1.0	37.78412780108742	0.6082745480301636	11	1.0	11.155698960925543	0.5595199978209823
chr10	125822760	125823628	UROS	BCCIP	-	+	287	divergent_classic	125823258	125823545	1.0	67.9	83.0	11	1.0	29.188221428965644	0.43893050520017857	11	1.0	23.210551099516554	0.6422380434347348
chr11	206975	209225	BET1L	RIC8A	-	+	308	divergent_classic	207399	207707	1.0	56.9	184.0	11	1.0	34.97474390682328	0.5329602658185493	11	1.0	18.693773679057124	0.5340256704339349
chr11	235918	237290	SIRT3	PSMD13	-	+	34	divergent_classic	236931	236965	1.0	53.0	101.0	11	1.0	35.73459014719235	0.4845165219290838	11	1.0	16.748641552257865	0.5709300306635846
chr11	842293	843396	POLR2L	TSPAN4	-	+	282	divergent_classic	842529	842811	1.0	65.9	122.0	11	1.0	28.56946292077794	0.5576541109621056	11	1.0	13.813468447443245	0.695695138536254
chr11	3797217	3798077	PGAP2	NUP98	+	-	69	divergent_overlapping	3797723	3797792	1.0	62.8	90.0	11	1.0	17.45742893693338	0.5294448888342969	11	1.0	14.34207471215643	0.7954057656345119
chr11	6481193	6481697	ARFIP2	TIMM10B	-	+	21	divergent_classic	6481479	6481500	1.0	61.5	53.0	11	1.0	24.715124534795123	0.32298096236772006	11	1.0	14.828097572677935	0.7022222176467853
chr11	6603322	6603843	RRP8	ILK	-	+	91	divergent_classic	6603616	6603707	1.0	61.4	48.0	11	1.0	30.357580932574923	0.43435086569828185	10	0.9090909090909091	8.857721361835987	0.47301659361800547
chr11	8910951	8911747	DENND2B	AKIP1	-	+	187	divergent_classic	8910951	8911138	0.9057788944723618	65.7	64.0	11	1.0	33.64388369669381	0.5022622162980355	11	1.0	10.060063196190809	0.6247505209612281
chr11	17207464	17208286	PIK3C2A	NUCB2	-	+	166	divergent_classic	17207986	17208152	1.0	67.6	68.0	11	1.0	39.9583069972398	0.6673006476839067	11	1.0	17.227678317872304	0.5390018328690389
chr11	18322078	18322917	HPS5	GTF2H1	-	+	96	divergent_classic	18322198	18322294	1.0	61.4	73.0	11	1.0	30.82919261196646	0.648360923341334	11	1.0	21.74357865644509	0.6867089606844702
chr11	31509584	31509954	IMMP1L	ELP4	-	+	109	divergent_classic	31509645	31509754	1.0	60.5	33.0	11	1.0	22.891336444291202	0.4949021909731964	10	0.9090909090909091	8.665672294000114	0.6256884806339514
chr11	34915781	34916833	PDHX	APIP	+	-	551	divergent_overlapping	34915828	34916379	1.0	67.6	98.0	11	1.0	33.150018774406995	0.5784813997301669	11	1.0	18.898266406878545	0.5604763172554218
chr11	46700429	46701029	ARHGAP1	ZNF408	-	+	410	divergent_classic	46700619	46701029	0.7483333333333333	63.7	34.0	11	1.0	24.18165497136116	0.33463389427446855	11	1.0	20.534143580974956	0.5622736779843948
chr11	47248299	47249082	NR1H3	ACP2	+	-	607	divergent_overlapping	47248299	47248906	0.5095785440613027	63.9	37.0	11	1.0	28.139544204075026	0.38583769233985027	11	1.0	13.166708267124374	0.5651318171936445
chr11	47565296	47566056	PTPMT1	CELF1	+	-	140	divergent_overlapping	47565429	47565569	1.0	69.3	81.0	11	1.0	44.35570830551903	0.5828764236789608	11	1.0	13.10637626643017	0.7054162292312341
chr11	57712014	57712836	MED19	TMX2	-	+	371	divergent_classic	57712221	57712592	1.0	57.9	66.0	11	1.0	29.86442166122399	0.5120082343612151	11	1.0	12.27007078825515	0.6182690898701297
chr11	58578200	58579848	LPXN	ZFP91	-	+	842	divergent_classic	58578220	58579062	1.0	61.2	132.0	11	1.0	27.115796525893668	0.4654201990694352	11	1.0	28.364442576016334	0.4209758207209688
chr11	61361749	61362407	TMEM138	CYB561A3	+	-	320	divergent_overlapping	61361963	61362283	1.0	66.1	61.0	11	1.0	22.710688936996934	0.4403484626892882	11	1.0	22.20255701465261	0.5179623209561426
chr11	61429449	61430225	CPSF7	SDHAF2	-	+	10	divergent_classic	61430031	61430041	1.0	68.3	88.0	11	1.0	34.09817480325098	0.662057994655071	11	1.0	23.90051779299538	0.6645357347348255
chr11	61792435	61793077	TMEM258	FEN1	-	+	108	divergent_classic	61792802	61792910	1.0	65.9	56.0	11	1.0	34.311393730743724	0.49824323700526535	11	1.0	43.656322015073435	0.6281223687567135
chr11	62611721	62613084	ROM1	EML3	+	-	1054	divergent_overlapping	62611721	62612775	0.673514306676449	75.6	103.0	11	1.0	21.161899364480664	0.4766489249667274	10	0.9090909090909091	8.28375971520151	0.8241992013356348
chr11	62726522	62728068	HNRNPUL2	TTC9C	-	+	611	divergent_classic	62727457	62728068	0.7328589909443726	71.0	142.0	11	1.0	28.563812386536394	0.47368226276745046	11	1.0	15.028912326230936	0.7214695855810568
chr11	64225940	64226362	NUDT22	TRPT1	+	-	314	divergent_overlapping	64225940	64226254	0.580568720379147	75.5	33.0	11	1.0	31.250326255111535	0.6348229708567741	10	0.9090909090909091	10.600171217447542	0.7386922813985577
chr11	64317174	64318585	TRMT112	PRDX5	-	+	561	divergent_classic	64317559	64318120	1.0	62.7	112.0	11	1.0	34.87813191036324	0.6370328870141491	11	1.0	18.56334731160688	0.6474487363221355
chr11	65121664	65122459	FAU	MRPL49	-	+	5	divergent_classic	65122177	65122182	1.0	62.6	70.0	11	1.0	39.217852735787496	0.5149328629605568	11	1.0	17.47522517799176	0.5531522133027265
chr11	65615353	65616386	MAP3K11	PCNX3	-	+	393	divergent_classic	65615382	65615775	1.0	68.5	97.0	11	1.0	19.16901583640384	0.5559999519181658	10	0.9090909090909091	7.557631521750861	0.6906008414929514
chr11	65857024	65862026	MUS81	CFL1	+	-	4901	divergent_overlapping	65857125	65862026	0.8198720511795282	63.2	337.0	11	1.0	24.584390983895034	0.5480153074815851	11	1.0	14.262921393396136	0.6840898643789174
chr11	65918816	65920083	C11orf68	DRAP1	-	+	211	divergent_classic	65919062	65919273	1.0	65.2	142.0	11	1.0	22.76357523022513	0.4776505902789015	11	1.0	5.728833335747354	0.5418178218607135
chr11	66001926	66002831	EIF1AD	BANF1	-	+	51	divergent_classic	66002176	66002227	1.0	65.0	86.0	11	1.0	31.415598857730966	0.4336376718961686	11	1.0	14.302310366004635	0.6281460098105811
chr11	67468173	67469482	AIP	TMEM134	+	-	1099	divergent_overlapping	67468173	67469272	0.5263559969442322	74.5	75.0	11	1.0	25.325515793492062	0.7105420507901664	10	0.9090909090909091	6.148466911015986	0.6644049293546485
chr11	71452868	71453634	DHCR7	NADSYN1	-	+	240	divergent_classic	71452868	71453108	0.7610966057441253	67.1	51.0	11	1.0	41.35186734797127	0.6134393996079242	10	0.9090909090909091	7.057754210160467	0.5733128348027217
chr11	72080336	72080914	LRRC51	NUMA1	+	-	357	divergent_overlapping	72080336	72080693	0.9948096885813149	63.5	51.0	11	1.0	14.867893451351948	0.39947569900059926	10	0.9090909090909091	7.946265418379929	0.6215227027901625
chr11	73876628	73877057	PAAF1	COA4	+	-	203	divergent_overlapping	73876698	73876901	1.0	64.6	45.0	11	1.0	32.248244349151676	0.663337276644481	11	1.0	14.592505439947729	0.703711972161384
chr11	74948886	74949328	XRRA1	SPCS2	-	+	60	divergent_classic	74949200	74949260	1.0	65.6	51.0	11	1.0	29.58388121787632	0.513573911568698	9	0.8181818181818182	9.111679202844677	0.7375322089585858
chr11	77820140	77821216	RSF1	AAMDC	-	+	239	divergent_classic	77820869	77821108	1.0	67.9	101.0	11	1.0	32.34763655087093	0.6330717127483364	11	1.0	9.37064473771418	0.5146616297717312
chr11	94493506	94494246	MRE11	ANKRD49	-	+	93	divergent_classic	94493885	94493978	1.0	60.7	56.0	11	1.0	37.42706585818652	0.5599302388547287	11	1.0	13.04907199042139	0.5345138067698387
chr11	95789296	95790879	CEP57	FAM76B	+	-	445	divergent_overlapping	95789964	95790409	1.0	61.2	130.0	11	1.0	29.861404807137376	0.4203162865759662	11	1.0	27.191163398308813	0.6316473120079976
chr11	96389372	96390423	CCDC82	JRKL	-	+	32	divergent_classic	96389956	96389988	1.0	61.1	75.0	11	1.0	33.75152646805674	0.44123234147260326	11	1.0	15.283353676176102	0.5144761213360235
chr11	112086628	112086957	TIMM8B	SDHD	-	+	25	divergent_classic	112086798	112086823	1.0	62.6	30.0	11	1.0	20.092516799946782	0.37051369377047727	11	1.0	8.820097099588404	0.7355172370007558
chr11	114400029	114400968	RBM7	C11orf71	+	-	482	divergent_overlapping	114400029	114400511	0.9488817891373802	63.0	86.0	11	1.0	26.574306706184096	0.4358794786979863	11	1.0	31.050694221801486	0.4727810703450874
chr11	117232057	117233225	PCSK7	RNF214	-	+	99	divergent_classic	117232525	117232624	0.7662671232876712	62.05	38.5	11	1.0	31.03246652923443	0.4741499737590196	11	1.0	9.641609805971454	0.5369571174402155
chr11	118572301	118572970	ARCN1	IFT46	+	-	581	divergent_overlapping	118572389	118572970	0.9192825112107623	68.6	47.0	11	1.0	41.146421462009904	0.5405177361748692	11	1.0	26.224530335456915	0.8423782179087882
