chrom	start	end	gene1	gene2	gene1_strand	gene2_strand	inter_tss_distance	pair_type	orig_start	orig_end	cpg_overlap_fraction	cpg_obs_exp	cpg_gc_pct	H3K4me3_n_present	H3K4me3_frac_present	H3K4me3_mean	H3K4me3_cv	H3K27ac_n_present	H3K27ac_frac_present	H3K27ac_mean	H3K27ac_cv	H3K27me3_n_absent	H3K27me3_frac_absent	H3K27me3_mean	H3K27me3_cv	H3K9me3_n_absent	H3K9me3_frac_absent	H3K9me3_mean	H3K9me3_cv	meth_mean	meth_cv	meth_n_hypo	meth_frac_hypo	DNase_mean	DNase_cv	DNase_n_present	DNase_frac_present	H3K9ac_mean	H3K9ac_cv	H3K36me3_mean	H3K36me3_cv	repliseq_mean	CTCF_n_peaks	mahalanobis_dist	mahalanobis_score	cosine_sim	cosine_score	percentile_score	composite_score	composite_rank
chr19	49639966	49642507	RRAS	SCAF1	-	+	2065	divergent_classic	49640143	49642208	0.5659189295552932	64.85	70.5	11	1.0	15.321024125988858	0.48437723262958227	11	1.0	22.62376387368199	0.47706492966597674	11	1.0	0.25255165004584235	0.8700695329583032	11	1.0	0.20155204052541886	0.43233455914988	3.111605120810202	0.9670414885968248	6	1.0	2.105058155479041	0.41356975568261545	11	1.0	21.47288439261163	0.6023323316033651	0.31431633937284764	0.4736543423154803	10.867768595041321	1	1.8477898104331005	0.8557718323673069	0.47148493790881796	0.6741174409991159	0.5993788819875776	0.7243576298429307	14
chr17	63773324	63776351	DDX42	CCDC47	+	-	2749	divergent_overlapping	63773602	63776351	0.4552362074661381	60.5	118.0	11	1.0	29.607950692725073	0.6170120880814576	11	1.0	13.568747725197955	0.5725781505249905	11	1.0	0.5019009980331072	1.0600156327798478	11	1.0	0.3924390531515897	0.4431767090092375	5.072866006688895	0.5298439384013125	6	1.0	0.8592758979089797	0.2973146632572788	11	1.0	17.38846072076575	0.3224439692934986	0.7478038500674331	0.3794671971648338	24.713577799801783	1	2.4517322471797582	0.7615006591831723	0.5707465482541958	0.8160392233836428	0.5725433986303552	0.7211750502774684	15
chr1	167935782	167937563	DCAF6	MPC2	+	-	1290	divergent_overlapping	167935782	167937072	0.8124649073554183	61.35	57.0	11	1.0	33.39842064681958	0.5401709776368857	11	1.0	21.002744721846838	0.49811148483426504	11	1.0	0.42329634566918256	0.6561713814282464	11	1.0	0.29557059061937063	0.5384429939994174	0.8246584969217864	0.5133157792978452	6	1.0	1.3425775892964926	0.19773411926805898	11	1.0	24.616837380419238	0.4941506000734429	0.3382891822463627	0.5498530054420426	21.160677521991392	2	1.4612711589080474	0.9161046795391331	0.3385131577800069	0.48399769604372833	0.6958910654562829	0.7204085002656566	16
chr5	74639900	74641726	HEXB	ENC1	+	-	1402	divergent_overlapping	74640022	74641424	1.0	63.6	160.0	11	1.0	28.1350644655677	0.647157434959213	9	0.8181818181818182	10.336604034026491	0.7065540297134265	10	0.9090909090909092	1.082682640303943	1.6004009151949827	11	1.0	0.3641541283994991	0.6125129134558438	1.5033862186363065	0.4375131266350947	6	1.0	0.6773600317768802	0.2965918414222227	11	1.0	16.102848394483658	0.6489057159967287	0.3718477234459488	0.8912972349978335	27.63271266885725	3	1.276181558613278	0.944995866351511	0.4770848079404475	0.6821239959325415	0.4587513935340023	0.7202609633805676	17
chr2	26243169	26245078	HADHB	HADHA	+	-	1503	divergent_overlapping	26243169	26244672	0.4421162912519644	62.8	60.0	11	1.0	32.07811749088857	0.556376364398098	11	1.0	14.843933054082756	0.645383218192615	10	0.9090909090909092	0.5922435258460497	1.1682565082840715	11	1.0	0.40503169749953083	0.8561190611612951	16.606272999967562	2.0517847023245284	6	0.8571428571428571	0.6322688272975592	0.3107150407392589	11	1.0	19.377628632920654	0.4598228422620211	0.3174529639065559	0.4030122992369237	10.6	1	1.4589253996609333	0.916470836084489	0.523041509611969	0.7478317452934707	0.4129638477464565	0.7148270123457738	18
chr12	6765515	6767757	PTMS	MLF2	+	-	1960	divergent_overlapping	6765515	6767475	0.6021409455842998	71.7	158.0	11	1.0	19.189565735092916	0.4278115614329513	10	0.9090909090909092	5.629899529212969	0.7814674134975576	11	1.0	0.5377570716052875	0.7681906174647083	11	1.0	0.2929971411148067	0.779643160254496	17.091409765390342	1.9873044409485496	6	0.8571428571428571	0.5603599570617731	0.38880565747679374	11	1.0	10.00439935157356	0.5129351439530062	0.27096148576449575	0.7387815906624243	9.576984834968778	1	1.4796929627353574	0.9132291653289982	0.5266929388621701	0.7530524680445565	0.4115304984870202	0.7146665560910722	19
chr9	129834697	129836042	USP20	C9orf78	+	-	1166	divergent_overlapping	129834697	129835863	0.8193308550185874	67.6	108.0	11	1.0	38.960040129806465	0.5284336159990964	10	0.9090909090909092	7.455124608517269	0.596236729249363	11	1.0	0.5256245474316757	0.6901984119002368	11	1.0	0.3164226268726253	0.5918126721575323	1.6190089579601803	0.7277824409764677	6	1.0	0.9209573117833479	0.5512029502070458	11	1.0	17.010279388253995	0.4366121871645713	0.32763393860698337	0.8357713965315466	27.733952912019827	1	1.4081895184811304	0.924390350843405	0.409419531625419	0.5853778663185206	0.5520783564261825	0.710993007160773	20
chr3	49020458	49022553	NDUFAF3	DALRD3	+	-	1835	divergent_overlapping	49020458	49022293	0.7928400954653938	69.8	174.0	11	1.0	31.02341916001867	0.5771389998644954	11	1.0	17.60844197127734	0.5376881764278678	11	1.0	0.43714970039859224	0.7143796548741599	11	1.0	0.38940806811427825	0.6609718094949327	1.2957215291159885	0.817859285350895	6	1.0	0.8691493611817065	0.3073789999527952	11	1.0	27.445373018948626	0.47706031343158006	0.2936501694380198	0.7897107670415043	7.246221161495623	2	1.3775104948228374	0.9291791309927031	0.37365459477187046	0.5342420488815026	0.583452779104953	0.706980100793018	21
chr3	23945160	23946591	NR1D2	NKIRAS1	+	-	1306	divergent_overlapping	23945285	23946591	0.9573724668064292	68.6	165.0	11	1.0	18.98588155402007	0.5109435261836578	11	1.0	10.031664484198593	0.45843222265322825	11	1.0	0.27614255747174216	0.7974558296990188	11	1.0	0.2659164320071516	0.685968686581808	1.1619325216024976	0.4229571469672805	6	1.0	1.196494742057167	0.46000282595957764	11	1.0	14.243910932687305	0.5900864717850447	0.176946140771534	0.9592543416154867	23.30118798043326	1	1.6907540387382114	0.8802840135435455	0.40229748851059377	0.5751949461587681	0.5609173435260392	0.6929472923228603	22
chr12	122980059	122981649	ARL6IP4	ABCB9	+	-	1590	divergent_overlapping	122980059	122981649	0.7245283018867924	72.7	133.0	11	1.0	36.39409633622835	0.5912238850313504	10	0.9090909090909092	10.083768318263918	0.640333705664042	11	1.0	0.46803938832645253	1.040094803822393	11	1.0	0.3499489528870961	0.5147739515907884	2.791939492569977	0.6616899464285646	6	1.0	0.5021831732399467	0.5862613233735289	11	1.0	21.14324050534544	0.5393094938524092	0.5489787351723128	0.5622880723699881	6.999999999999999	1	1.135581780735022	0.96694250431491	0.36532472151168627	0.5223322032119718	0.4977703455964326	0.6928077663684853	23
chr19	46745984	46746994	FKRP	STRN4	+	-	949	divergent_overlapping	46746045	46746994	0.7	64.5	87.0	11	1.0	27.628510676954146	0.5655514241521729	11	1.0	7.5206086664101806	0.5898548749686179	11	1.0	0.3704939061303128	0.9215275691892292	11	1.0	0.24855794331312558	0.6038170903693822	2.43394603898455	0.6216313212035969	6	1.0	0.5865012682963537	0.9035682558765196	11	1.0	18.008513791578444	0.5395291400205757	0.4701194465444196	0.6723819600946086	25.41831683168317	1	1.7875708474473175	0.8651715896010962	0.43613809016249805	0.6235793969720493	0.5093964007007485	0.685961375142278	24
chr6	41786142	41787838	FRS3	TOMM6	-	+	1119	divergent_classic	41786542	41787661	1.0	63.4	121.0	11	1.0	29.28707967607876	0.47940771655830294	11	1.0	10.542779647252745	0.5585844218461661	11	1.0	0.5514135998127363	1.0093392131166115	11	1.0	0.3946938550193804	0.5464784316772775	3.736741525303677	0.3481631701834787	6	1.0	0.9254256606585873	0.4112088450014719	11	1.0	16.67656275271813	0.4562988723809213	0.3986253324939515	0.5681463654616012	15.901729559748427	3	1.4735629588087509	0.9141860158939255	0.3604354126793623	0.5153415910135859	0.5508042681955725	0.6855181641203176	25
chr17	42609041	42610623	TUBG1	RETREG3	+	-	983	divergent_overlapping	42609640	42610623	0.4437420986093552	59.3	56.0	11	1.0	22.645499703220878	0.5109279183956185	11	1.0	7.878408562992936	0.7012330548949584	11	1.0	0.39840805010291375	0.905363407520718	11	1.0	0.27019607923120487	0.644638634484634	17.26716268621039	1.959685334631071	6	0.8571428571428571	1.5206129001361999	0.3563761444999613	11	1.0	13.65153230791949	0.4602014085369684	0.2783097597076809	0.7720978589121149	16.425621576064056	1	2.0471318654402184	0.8246559374623422	0.5232827804850946	0.7481767083887934	0.4345437171524128	0.6846785026472988	26
chr6	170553036	170554735	PSMB1	TBP	-	+	994	divergent_classic	170553307	170554301	0.4596821659799882	62.6	33.5	11	1.0	33.36769602902218	0.5468346940100447	11	1.0	14.81124990300314	0.6061199414008083	10	0.9090909090909092	0.45669023634383554	1.209586721950988	11	1.0	0.3540692868975942	0.43325819078664773	15.56823652451462	2.214304542431753	6	0.8571428571428571	1.0943147867052125	0.3849598165690217	11	1.0	18.38928218827032	0.6077228075089494	0.31758315192358544	0.5642309559444778	16.71208554051403	0	2.1423247788475193	0.8097969921726831	0.5291181233299622	0.7565199364956803	0.4292084726867335	0.6796373196237975	27
chr21	33641570	33643926	ITSN1	CRYZL1	+	-	1527	divergent_overlapping	33642399	33643926	0.5207979626485568	65.3	65.5	11	1.0	23.738847778333945	0.4298452763801757	11	1.0	9.194101730986468	0.5393928491064268	10	0.9090909090909092	0.6648986132269695	1.0847140077013844	11	1.0	0.2989146638832044	0.47503737266687923	1.326399794094156	0.3838376407606051	6	1.0	1.4362451314406268	0.4091607792436448	11	1.0	11.633064100280285	0.5245075560238575	0.35649957403884913	0.4651923067692981	19.636460101867574	0	1.2529362276798455	0.9486242992696425	0.316488762472219	0.4525077632575611	0.5234113712374582	0.6722254600563627	28
chr2	130181267	130182773	MZT2B	SMPD4	+	-	1014	divergent_overlapping	130181736	130182750	1.0	61.2	140.0	11	1.0	24.55079149540438	0.5585799298933719	11	1.0	10.98130196119169	0.4786126622804954	11	1.0	0.2702642702357073	1.0173431672397202	11	1.0	0.1715588477589128	0.6235856164099616	0.8751397567445003	0.539629719739626	6	1.0	0.8835761065473728	0.32985926150906775	11	1.0	18.35643581499033	0.4295195644389733	0.23545352256173668	0.8585482620255637	8.136343514829571	1	1.9825433521394933	0.8347377508150816	0.3955913942429051	0.5656067393183041	0.5592451027233636	0.6713506529385329	29
chr17	64505361	64508199	CEP95	DDX5	+	-	1335	divergent_overlapping	64506864	64508199	0.7353770260747005	60.6	183.0	11	1.0	33.938818106381646	0.46388756803336456	11	1.0	20.393394496062946	0.4891747877670876	11	1.0	0.39709467812248056	0.7487438457297698	11	1.0	0.3942140395450394	0.49678826158110484	1.611870625662262	0.5736275300848468	6	1.0	1.1288991108299038	0.3233369948305516	11	1.0	26.964734775773106	0.3817028712072756	0.6258029721108316	0.27141759486709344	21.82522903453136	1	1.742087180616381	0.8722712705838839	0.24708509043504756	0.3532761186643078	0.7090301003344481	0.6676003739331804	30
chr4	673484	674937	MYL5	ATP5ME	+	-	751	divergent_overlapping	673579	674330	1.0	60.6	123.0	11	1.0	28.371780026465057	0.5780829318686886	11	1.0	9.895119252391375	0.610337883365011	11	1.0	0.2863011350382133	0.800432989096039	11	1.0	0.34588650410109884	0.4075290664067147	3.3808571724488483	0.6502018417587627	6	1.0	1.1296246482128405	0.6960454150890427	11	1.0	20.709034901079907	0.7254224756942113	0.5259485076936501	0.6003510072912331	21.014223445744438	1	2.2884926168184503	0.7869812191305772	0.4297209351570962	0.6144043083044815	0.5176779741997134	0.6544171724034893	31
chr8	42541092	42542052	SMIM19	SLC20A2	+	-	772	divergent_overlapping	42541154	42541926	1.0	65.0	117.0	11	1.0	27.054113171411743	0.611682860158113	11	1.0	19.066868488628227	0.4503877049834312	11	1.0	0.2382442394268671	0.7115723162438792	11	1.0	0.13710585905709566	0.6045919169856048	1.2761041455989826	0.657977604268652	6	1.0	0.6330520542544633	0.49949130656991864	11	1.0	26.528493345687625	0.686783210137849	0.21478448937993183	1.012821588592517	18.596006944444444	1	2.28514628881801	0.7875035574318229	0.3952644458698076	0.5651392766638471	0.5504061156235068	0.6496650406589353	32
chr19	49590262	49592250	NOSIP	PRR12	-	+	919	divergent_classic	49590262	49591181	0.9305835010060364	56.6	131.0	11	1.0	27.965866884934375	0.40665724355570043	11	1.0	11.421032252679112	0.6449708236143453	11	1.0	0.323642131916279	0.6815204277149743	11	1.0	0.2551903698153455	0.5798099226325466	1.0914215527510336	0.4603253586637294	6	1.0	0.6999770376742028	0.38585289404268175	11	1.0	16.61871432474018	0.663030634688323	0.3286345479319616	0.6636806672316578	10.166666666666666	1	2.0658791131489815	0.8217296237477455	0.3517022755952173	0.502855168755497	0.5606784519827999	0.6477519357205872	33
chr21	25734503	25735900	GABPA	ATP5PF	+	-	1104	divergent_overlapping	25734569	25735673	1.0	66.0	121.0	11	1.0	31.19709919004175	0.4840082109115882	11	1.0	25.296583851797948	0.6866496350906437	11	1.0	0.39570648731757063	1.0362108488463253	11	1.0	0.29637348863486324	0.6563511093221053	1.249182692048632	0.4804251870717869	6	1.0	1.2096775555022639	0.2993705304201027	11	1.0	29.34248155414774	0.415979717564146	0.38092456197380536	0.5642635724771972	17.5	1	1.679808023057332	0.8819926097228222	0.21115827063877135	0.30190884502091125	0.6651536868928173	0.6429158034632474	34
chr8	73293988	73295944	RDH10	RPL7	+	-	1188	divergent_overlapping	73294601	73295789	1.0	67.0	205.0	11	1.0	28.734682742397926	0.5075485633786522	11	1.0	11.965182180829515	0.6187208335422152	10	0.9090909090909092	0.8026862032196813	1.1377740155615654	11	1.0	0.24530880126763036	0.25998619897506675	0.8166361559484597	0.6438677040264484	6	1.0	0.781009776668614	0.25303408090076823	11	1.0	17.645169511388005	0.5547827444986647	0.29637127746018144	0.6979247633556768	13.623125426039536	1	2.3733321739902644	0.7737383600427262	0.3880099215535713	0.5547669381763918	0.5554228380315336	0.6425522768794681	35
chr12	108560719	108562983	SART3	ISCU	-	+	1181	divergent_classic	108561400	108562581	0.4854240282685512	66.3	55.5	11	1.0	29.111113640175265	0.4267517693886792	11	1.0	21.89349751313594	0.558659475895464	11	1.0	0.38137185110835453	1.0489322350541426	11	1.0	0.33003071218335567	0.5271792755534481	0.6688012001922891	0.5540926557282462	6	1.0	0.8855004057429671	0.1604838754451292	11	1.0	24.316297705267644	0.3994661370657426	0.3038168700556708	0.5952190112434732	17.150471142520612	2	1.681650659195374	0.8817049871616053	0.20001880416892748	0.285981912839254	0.6685777990125817	0.6390499084201928	36
chr12	123971844	123974181	ZNF664	CCDC92	+	-	987	divergent_overlapping	123971844	123972831	0.922122379118528	62.1	206.0	11	1.0	24.89007756166887	0.5937846172079713	10	0.9090909090909092	5.169712507721683	0.7742065544857091	11	1.0	0.494718250981434	0.8690552270791891	11	1.0	0.24564699454999805	0.3652591976884715	16.74300423635397	2.0348252395801603	6	0.8571428571428571	0.7768038975775685	0.634867923134789	11	1.0	10.817152539316076	0.5449457861559185	0.2941114883965871	0.5883706995740227	9.313150763086577	1	2.9145133342366183	0.6892637813785747	0.5745191851619511	0.8214332458297356	0.38318203535594836	0.637090096907135	37
chr11	67468173	67469482	AIP	TMEM134	+	-	1099	divergent_overlapping	67468173	67469272	0.5263559969442322	74.5	75.0	11	1.0	25.325515793492062	0.7105420507901664	10	0.9090909090909092	6.148466911015986	0.6644049293546485	11	1.0	0.3753105139129325	0.7636479145675785	11	1.0	0.2726848496169579	0.5419481076257892	2.841536184737939	0.708222919400272	6	1.0	0.6511996350963192	0.570278340683091	11	1.0	12.99329247523385	0.4259586429539199	0.49607469494928247	0.8222370513260363	27.041507512095748	1	1.7624553343304885	0.8690919448246821	0.32905121343072596	0.4704692432793542	0.4941073419334289	0.6370097534937078	38
chr2	197515570	197516737	MOB4	HSPD1	+	-	1167	divergent_overlapping	197515570	197516737	0.7523564695801199	69.1	83.0	11	1.0	36.678046602069564	0.6077446924015741	11	1.0	15.623210842352016	0.6459564979441883	11	1.0	0.3687359860511744	0.6751236072001324	11	1.0	0.4161670059276277	0.6339234846890257	0.8579662403070643	1.035869245603469	6	1.0	1.0281921583592895	0.4966204388447929	11	1.0	25.765014436558577	0.4714355169070463	0.4344587875233909	0.5846830369486881	20.533990288489004	0	1.4572390869584189	0.9167340576552031	0.22550469055271827	0.32242099949775055	0.5763656633221851	0.636329621908062	39
chr1	37806978	37808730	C1orf122	YRDC	+	-	1230	divergent_overlapping	37806978	37808208	0.567351598173516	72.7	121.0	11	1.0	26.259884132303206	0.41036009033135346	11	1.0	9.051088349537721	0.5084618369766151	11	1.0	0.46487179433331927	0.7063014084878155	11	1.0	0.31986707893924166	0.3444628280197162	4.287770051405351	0.5814039933718873	6	1.0	0.8070187851022578	0.5020535453843843	11	1.0	15.961456245137898	0.5192053890407572	0.798528253106587	0.3770705572380387	23.50561263318113	1	1.3770878420498154	0.9292451041224883	0.19153324553162998	0.273849472088561	0.6067845198279981	0.6358882392239631	40
chr16	69131290	69133005	UTP4	CHTF8	+	-	1298	divergent_overlapping	69131290	69132588	0.5731778425655977	74.3	120.0	11	1.0	39.06475905209672	0.5593428581347952	11	1.0	13.981345717794266	0.5561974035647173	11	1.0	0.4462031485258608	0.8326578250710083	11	1.0	0.4895485331074659	0.6656269467186388	8.941271821726655	1.8828264261294057	6	0.8571428571428571	0.7439079270572226	0.7023996419071722	11	1.0	23.075604069603262	0.4463317461890354	0.539435035817195	0.5836697011283672	10.666666666666666	0	1.4304921350302313	0.9209090690204461	0.2556378470019609	0.36550463734392474	0.5207835642618251	0.6342500880899035	41
chr3	122793638	122795630	HSPBAP1	SLC49A4	-	+	1237	divergent_classic	122793831	122795068	0.5341365461847389	61.650000000000006	46.5	11	1.0	21.698051897440155	0.4148286572132659	11	1.0	11.799850443818343	0.7434176595195948	11	1.0	0.35469646049782444	0.5939443977079297	11	1.0	0.31931134060638927	0.5331688423489164	0.991949779735398	0.5428673102995293	6	1.0	0.827474453671919	0.27643944691969674	11	1.0	13.210537479999372	0.47177776026188845	0.25239638433998707	0.47133960115589857	24.166666666666668	0	1.6713496522737694	0.8833129020031399	0.261966031031175	0.37455251752195556	0.539417104634496	0.6275160474481914	42
